time,lat,lon
2016-08-27:00.00.00,30.7,-65
2016-08-27:03.00.00,30.7502,-65.3024
2016-08-27:06.00.00,30.8,-65.6
2016-08-27:09.00.00,30.8499,-65.8925
2016-08-27:12.00.00,30.9,-66.2
2016-08-27:15.00.00,30.9498,-66.5275
2016-08-27:18.00.00,31,-66.9
2016-08-27:21.00.00,31.0425,-67.3351
2016-08-28:00.00.00,31.1,-67.8
2016-08-28:03.00.00,31.1923,-68.25
2016-08-28:06.00.00,31.3,-68.7
2016-08-28:09.00.00,31.3998,-69.1426
2016-08-28:12.00.00,31.5,-69.6
2016-08-28:15.00.00,31.5923,-70.0852
2016-08-28:18.00.00,31.7,-70.6
2016-08-28:21.00.00,31.835,-71.1576
2016-08-29:00.00.00,32,-71.7
2016-08-29:03.00.00,32.1849,-72.1876
2016-08-29:06.00.00,32.4,-72.6
2016-08-29:09.00.00,32.6422,-72.9227
2016-08-29:12.00.00,32.9,-73.2
2016-08-29:15.00.00,33.1649,-73.4926
2016-08-29:18.00.00,33.4,-73.8
2016-08-29:21.00.00,33.5726,-74.1576
2016-08-30:00.00.00,33.7,-74.5
2016-08-30:03.00.00,33.8,-74.8026
2016-08-30:06.00.00,33.9,-75
2016-08-30:09.00.00,34.0499,-75.0451
2016-08-30:12.00.00,34.2,-75
2016-08-30:15.00.00,34.3075,-74.965
2016-08-30:18.00.00,34.4,-74.9
2016-08-30:21.00.00,34.5,-74.8075
2016-08-31:00.00.00,34.6,-74.7
2016-08-31:03.00.00,34.6848,-74.6372
2016-08-31:06.00.00,34.8,-74.5
2016-08-31:09.00.00,34.9623,-74.217
2016-08-31:12.00.00,35.2,-73.8
2016-08-31:15.00.00,35.5122,-73.3094
2016-08-31:18.00.00,35.9,-72.7
2016-08-31:21.00.00,36.3387,-71.9821
2016-09-01:00.00.00,36.8,-71.2
