time,lat,lon
2016-08-18:12.00.00,22.3,152.8
2016-08-18:15.00.00,23.2228,153.218
2016-08-18:18.00.00,24.1,153.4
2016-08-18:21.00.00,24.9076,153.191
2016-08-19:00.00.00,25.6667,152.8
2016-08-19:03.00.00,26.4681,152.559
2016-08-19:06.00.00,27.34,152.26
2016-08-19:09.00.00,28.3077,151.837
2016-08-19:12.00.00,29.3333,151.2
2016-08-19:15.00.00,30.3955,150.3
2016-08-19:18.00.00,31.4308,149.269
2016-08-19:21.00.00,32.1263,148.279
2016-08-20:00.00.00,32.7533,147.327
2016-08-20:03.00.00,33.5499,146.464
2016-08-20:06.00.00,34.45,145.6
2016-08-20:09.00.00,35.3767,144.555
2016-08-20:12.00.00,36.275,143.6
2016-08-20:15.00.00,37.0892,142.881
2016-08-20:18.00.00,37.8,142.5
2016-08-20:21.00.00,38.3453,142.527
2016-08-21:00.00.00,38.925,142.75
2016-08-21:03.00.00,39.7491,142.788
2016-08-21:06.00.00,40.6643,142.929
2016-08-21:09.00.00,41.5836,143.361
2016-08-21:12.00.00,42.49,143.89
2016-08-21:15.00.00,43.4804,144.285
2016-08-21:18.00.00,44.9143,144.871
2016-08-21:21.00.00,45.9805,145.356
2016-08-22:00.00.00,46.8,145.8
2016-08-22:03.00.00,47.5009,146.336
2016-08-22:06.00.00,48.2,147
