time,lat,lon
2016-08-06:18.00.00,17.7,-102.5
2016-08-06:21.00.00,17.8303,-103
2016-08-07:00.00.00,18,-103.5
2016-08-07:03.00.00,18.2349,-104
2016-08-07:06.00.00,18.5,-104.5
2016-08-07:09.00.00,18.7424,-105.008
2016-08-07:12.00.00,19,-105.5
2016-08-07:15.00.00,19.2774,-105.965
2016-08-07:18.00.00,19.6,-106.4
2016-08-07:21.00.00,19.9923,-106.8
2016-08-08:00.00.00,20.4,-107.2
2016-08-08:03.00.00,20.765,-107.658
2016-08-08:06.00.00,21.1,-108.1
2016-08-08:09.00.00,21.4149,-108.48
2016-08-08:12.00.00,21.7,-108.8
2016-08-08:15.00.00,21.965,-109.088
2016-08-08:18.00.00,22.2,-109.3
2016-08-08:21.00.00,22.3628,-109.407
2016-08-09:00.00.00,22.6,-109.5
2016-08-09:03.00.00,23.0297,-109.639
2016-08-09:06.00.00,23.4,-110.2
2016-08-09:09.00.00,23.6736,-110.605
2016-08-09:12.00.00,23.9,-110.9
2016-08-09:15.00.00,24.165,-111.265
2016-08-09:18.00.00,24.4,-111.6
2016-08-09:21.00.00,24.55,-111.888
2016-08-10:00.00.00,24.7,-112.1
2016-08-10:03.00.00,24.9349,-112.223
2016-08-10:06.00.00,25.2,-112.3
2016-08-10:09.00.00,25.455,-112.392
2016-08-10:12.00.00,25.7,-112.5
