time,lat,lon
2016-08-16:12.00.00,21,89
2016-08-16:15.00.00,21.1,88.867
2016-08-16:18.00.00,21.2,88.7
2016-08-16:21.00.00,21.3,88.4989
2016-08-17:00.00.00,21.4,88.4
2016-08-17:03.00.00,21.5,88.5
2016-08-17:06.00.00,21.5,88.5
2016-08-17:09.00.00,21.6712,88.4483
2016-08-17:12.00.00,22,88.2
2016-08-17:15.00.00,22.428,87.6181
2016-08-17:18.00.00,22.9,86.9
2016-08-17:21.00.00,23.3268,86.3133
2016-08-18:00.00.00,23.7,85.7
2016-08-18:03.00.00,24,85
2016-08-18:06.00.00,24,84.4
2016-08-18:09.00.00,24.026,83.859
2016-08-18:12.00.00,24.1,83.4
2016-08-18:15.00.00,24.2348,83.02
2016-08-18:18.00.00,24.4,82.7
2016-08-18:21.00.00,24.5194,82.2911
2016-08-19:00.00.00,24.7,82.1
2016-08-19:03.00.00,25,82.3
2016-08-19:06.00.00,24.8,80.6
2016-08-19:09.00.00,24.7103,79.5486
2016-08-19:12.00.00,24.7,79
2016-08-19:15.00.00,24.6917,78.6251
2016-08-19:18.00.00,24.7,78.4
2016-08-19:21.00.00,24.6795,78.0999
2016-08-20:00.00.00,24.7,77.8
2016-08-20:03.00.00,24.8,77.5
2016-08-20:06.00.00,24.8,77.3
2016-08-20:09.00.00,24.7862,77.2601
2016-08-20:12.00.00,24.8,77.2
2016-08-20:15.00.00,24.8799,76.9219
2016-08-20:18.00.00,25,76.5
