time,lat,lon
2016-08-22:18.00.00,12.6,146.1
2016-08-22:21.00.00,12.2225,145.962
2016-08-23:00.00.00,12.2,145.8
2016-08-23:03.00.00,12.7701,145.6
2016-08-23:06.00.00,13.7,145.4
2016-08-23:09.00.00,14.685,145.205
2016-08-23:12.00.00,15.7,145.1
2016-08-23:15.00.00,16.5498,145.118
2016-08-23:18.00.00,17.4,145.3
2016-08-23:21.00.00,18.3175,145.626
2016-08-24:00.00.00,19.4,146.1
2016-08-24:03.00.00,20.7779,146.699
2016-08-24:06.00.00,22.2,147.3
2016-08-24:09.00.00,23.4196,147.75
2016-08-24:12.00.00,24.5,148.1
