time,lat,lon
2016-08-30:18.00.00,20.8,123
2016-08-30:21.00.00,21.0257,123.594
2016-08-31:00.00.00,21.14,123.76
2016-08-31:03.00.00,21.2211,124.185
2016-08-31:06.00.00,21.38,124.69
2016-08-31:09.00.00,21.7193,125.343
2016-08-31:12.00.00,22.1667,126
2016-08-31:15.00.00,22.6214,126.54
2016-08-31:18.00.00,23.0692,126.962
2016-08-31:21.00.00,23.4577,127.322
2016-09-01:00.00.00,23.8,127.74
2016-09-01:03.00.00,24.092,128.339
2016-09-01:06.00.00,24.375,129
2016-09-01:09.00.00,24.6906,129.622
2016-09-01:12.00.00,24.975,130.125
2016-09-01:15.00.00,25.3393,130.456
2016-09-01:18.00.00,25.75,130.625
2016-09-01:21.00.00,26.1056,130.728
2016-09-02:00.00.00,26.425,130.775
2016-09-02:03.00.00,26.7894,130.795
2016-09-02:06.00.00,27.15,130.8
2016-09-02:09.00.00,27.4625,130.815
2016-09-02:12.00.00,27.775,130.8
2016-09-02:15.00.00,28.1013,130.703
2016-09-02:18.00.00,28.475,130.575
2016-09-02:21.00.00,28.8875,130.448
2016-09-03:00.00.00,29.3,130.3
2016-09-03:03.00.00,29.6794,130.192
2016-09-03:06.00.00,30,130.1
2016-09-03:09.00.00,30.2862,130.025
2016-09-03:12.00.00,30.525,129.95
2016-09-03:15.00.00,30.7719,129.877
2016-09-03:18.00.00,31.025,129.775
2016-09-03:21.00.00,31.2088,129.674
2016-09-04:00.00.00,31.4,129.6
2016-09-04:03.00.00,31.6587,129.599
2016-09-04:06.00.00,31.925,129.625
2016-09-04:09.00.00,32.1531,129.643
2016-09-04:12.00.00,32.4,129.675
2016-09-04:15.00.00,32.7218,129.733
2016-09-04:18.00.00,33.1286,129.85
2016-09-04:21.00.00,33.5564,130.063
2016-09-05:00.00.00,34,130.378
2016-09-05:03.00.00,34.4556,130.699
2016-09-05:06.00.00,34.95,131.1
2016-09-05:09.00.00,35.334,131.603
2016-09-05:12.00.00,35.9,132.3
