time,lat,lon
2016-09-04:06.00.00,15.1,-105
2016-09-04:09.00.00,15.2625,-105.052
2016-09-04:12.00.00,15.4,-105.1
2016-09-04:15.00.00,15.5125,-105.143
2016-09-04:18.00.00,15.7,-105.2
2016-09-04:21.00.00,16.04,-105.278
2016-09-05:00.00.00,16.5,-105.4
2016-09-05:03.00.00,17.0349,-105.563
2016-09-05:06.00.00,17.6,-105.8
2016-09-05:09.00.00,18.0998,-106.098
2016-09-05:12.00.00,18.6,-106.5
2016-09-05:15.00.00,19.1351,-107.028
2016-09-05:18.00.00,19.7,-107.6
2016-09-05:21.00.00,20.2924,-108.115
2016-09-06:00.00.00,20.9,-108.6
2016-09-06:03.00.00,21.4923,-109.051
2016-09-06:06.00.00,22.1,-109.5
2016-09-06:09.00.00,22.7203,-110.005
2016-09-06:12.00.00,23.4,-110.5
2016-09-06:15.00.00,24.15,-110.957
2016-09-06:18.00.00,24.9,-111.4
2016-09-06:21.00.00,25.6428,-111.722
2016-09-07:00.00.00,26.4,-111.9
2016-09-07:03.00.00,27.1845,-111.96
2016-09-07:06.00.00,28,-111.9
2016-09-07:09.00.00,28.8339,-111.784
2016-09-07:12.00.00,29.6,-111.7
2016-09-07:15.00.00,30.3748,-111.597
2016-09-07:18.00.00,31.1,-111.4
2016-09-07:21.00.00,31.76,-111.053
2016-09-08:00.00.00,32.3,-110.6
2016-09-08:03.00.00,32.6929,-110.108
2016-09-08:06.00.00,33,-109.6
