,Pmin
0,1004.4825
1,1002.313125
2,1003.69125
3,1005.394375
4,1004.14
5,1002.501875
6,1003.151875
7,1004.34875
8,1002.85375
9,1000.385625
10,1000.4975
11,1002.075
12,1000.771875
13,998.758125
14,999.005625
15,999.834375
16,998.294375
17,995.838125
18,995.005
19,995.4975
20,995.435625
21,992.12125
22,991.268125
23,994.003125
24,992.611875
25,991.66875
26,989.365625
27,991.158125
28,990.76375
29,988.926875
30,986.30125
31,989.029375
32,988.47375
33,986.843125
34,987.19875
35,988.993125
36,988.3025
37,986.335
38,986.776875
39,988.935625
40,988.933125
41,987.80125
42,989.69625
43,993.5675
