,Prec_max
0,5.656671524047852
1,3.556394577026367
2,3.149127960205078
3,7.811880111694336
4,7.674121856689453
5,11.614608764648438
6,8.953857421875
7,8.358621597290039
8,8.266353607177734
9,8.05821418762207
10,7.904577255249023
11,10.91766357421875
12,12.80207633972168
13,16.27049446105957
14,16.643428802490234
15,20.643997192382812
16,23.998260498046875
17,22.8914737701416
18,17.05799102783203
19,10.06321907043457
20,7.420063018798828
21,6.621837615966797
22,6.172513961791992
23,9.768819808959961
24,7.428216934204102
25,6.637716293334961
26,6.197834014892578
27,4.839134216308594
28,4.739999771118164
29,8.27493667602539
30,9.009218215942383
31,5.628347396850586
32,5.7952880859375
33,5.769968032836914
34,5.024099349975586
35,10.456323623657227
36,9.134531021118164
37,8.545732498168945
38,11.452817916870117
39,9.407901763916016
40,17.04425811767578
41,13.787841796875
42,20.70794105529785
43,6.200838088989258
44,9.670543670654297
45,21.68426513671875
46,22.55845069885254
47,17.139101028442383
