,Pmin
0,1008.056875
1,1006.026875
2,1005.286875
3,1005.915
4,1006.8275
5,1004.42
6,1003.585625
7,1004.741875
8,1005.268125
9,1003.003125
10,1001.244375
11,1002.76875
12,1003.965625
13,1001.50625
14,999.63875
15,1000.956875
16,1000.29
17,998.610625
18,998.61875
19,1000.500625
20,1001.945
21,999.73625
22,999.33
23,1001.42
24,1002.3025
25,1001.366875
26,1001.333125
27,1002.763125
28,1003.976875
29,1001.850625
30,1001.056875
31,1003.60125
32,1005.021875
33,1003.31875
34,1002.420625
35,1004.385625
36,1006.111875
37,1004.046875
38,1003.586875
39,1005.9325
40,1006.939375
41,1005.344375
42,1004.593125
43,1006.1775
44,1007.38875
45,1005.055
46,1004.088125
47,1006.088125
48,1008.0275
49,1007.463125
50,1006.720625
51,1008.39625
52,1009.708125
53,1008.021875
