,tot_Prec_max
0,27.283191680908203
1,19.77825164794922
2,15.45572280883789
3,4.302978515625
4,7.395267486572266
5,9.311676025390625
6,14.672279357910156
7,31.041622161865234
8,31.35395050048828
9,27.50539779663086
10,10.132789611816406
11,5.0678253173828125
12,7.648468017578125
13,10.633468627929688
14,12.416362762451172
15,11.607170104980469
16,9.851455688476562
17,25.47168731689453
18,22.853374481201172
19,8.189201354980469
20,12.842655181884766
21,14.628887176513672
22,12.929439544677734
23,12.667179107666016
24,14.523506164550781
25,12.862682342529297
26,17.851829528808594
27,13.315677642822266
28,13.066291809082031
29,19.439220428466797
30,21.987438201904297
31,25.32958984375
32,26.51357650756836
33,22.722244262695312
34,28.583526611328125
35,22.357940673828125
36,26.770591735839844
37,19.968032836914062
38,23.958206176757812
39,26.018619537353516
40,27.270793914794922
41,20.714282989501953
42,24.517536163330078
43,29.051780700683594
44,24.496078491210938
45,21.27838134765625
46,22.87578582763672
