,Pmin
0,1007.18625
1,1003.949375
2,1002.700625
3,1005.6775
4,1006.313125
5,1004.295625
6,1003.759375
7,1003.44375
8,1003.58875
9,1001.603125
10,1002.08875
11,1002.53
12,1003.369375
13,1001.0375
14,1000.714375
15,1001.115625
16,1001.70375
17,999.510625
18,998.17375
19,997.77875
20,997.8125
21,995.11125
22,993.7675
23,994.225
24,994.679375
25,992.640625
26,989.301875
27,988.944375
28,989.62
29,986.666875
30,983.6575
31,983.340625
32,983.7975
33,982.114375
34,977.91125
35,977.885625
36,976.1725
37,974.575
38,969.6725
39,969.058125
40,969.4775
41,967.349375
42,966.484375
43,967.240625
44,971.513125
45,972.719375
46,973.140625
