,Pmin
0,1004.05
1,1004.466875
2,1005.601875
3,1004.73125
4,1003.221875
5,1003.3325
6,1004.825625
7,1004.958125
8,1003.26125
9,1003.806875
10,1005.08
11,1004.424375
12,1002.8025
13,1004.111875
14,1005.259375
15,1005.0
16,1002.838125
17,1003.5525
18,1005.219375
19,1003.971875
20,1002.388125
21,1002.585
22,1003.933125
23,1004.09375
24,1002.1175
25,1002.038125
26,1002.105
27,1001.30875
28,999.6275
29,999.988125
30,1000.279375
31,999.6975
32,996.90125
33,996.304375
34,997.81125
35,996.333125
36,994.220625
37,994.279375
38,994.76625
39,993.7775
40,991.396875
41,990.84375
42,990.59375
43,988.45625
44,986.280625
45,985.579375
46,986.856875
47,984.048125
48,981.77375
49,981.755
50,981.579375
51,979.459375
52,977.915625
53,978.411875
54,979.575
55,979.28
56,978.05625
57,978.5025
58,978.431875
59,979.350625
60,979.39375
61,979.53375
62,979.504375
63,979.95375
