,Prec_max
0,6.755304336547852
1,9.910011291503906
2,9.419918060302734
3,9.011363983154297
4,9.215641021728516
5,22.762298583984375
6,24.65229034423828
7,29.808568954467773
8,18.261337280273438
9,16.005277633666992
10,12.18409538269043
11,11.905145645141602
12,12.460041046142578
13,21.842622756958008
14,12.44974136352539
15,9.504032135009766
16,9.80830192565918
17,15.352535247802734
18,16.705656051635742
19,30.56473731994629
20,26.90877914428711
21,17.266559600830078
22,18.239450454711914
23,14.202404022216797
24,10.142183303833008
25,14.530277252197266
26,16.878604888916016
27,17.242097854614258
28,12.778043746948242
29,16.709089279174805
30,19.093036651611328
31,17.240381240844727
32,19.2110538482666
33,15.607452392578125
34,13.514041900634766
35,15.979528427124023
36,15.592432022094727
37,13.06772232055664
38,15.49072265625
39,14.458179473876953
40,12.069940567016602
41,26.544857025146484
42,27.82416343688965
43,25.748777389526367
44,27.170562744140625
45,18.899059295654297
46,19.098186492919922
47,22.69449234008789
48,26.518678665161133
49,25.647926330566406
50,22.175216674804688
51,18.31841468811035
52,20.53670883178711
53,20.080089569091797
54,17.25926399230957
55,17.015504837036133
56,17.597007751464844
57,16.149044036865234
58,13.780546188354492
59,17.723608016967773
60,19.395160675048828
61,13.31491470336914
62,18.47677230834961
63,12.965154647827148
64,15.434503555297852
65,18.13216209411621
66,13.379287719726562
67,8.591651916503906
68,9.539651870727539
69,9.43450927734375
70,9.381294250488281
71,12.442445755004883
72,11.687994003295898
73,7.588291168212891
74,8.860301971435547
75,13.043689727783203
76,11.25025749206543
77,14.92166519165039
78,17.845916748046875
79,12.48321533203125
80,16.938257217407227
81,22.014713287353516
82,20.987319946289062
83,23.68025779724121
84,17.346811294555664
85,7.34410285949707
86,7.062578201293945
87,6.612396240234375
88,6.706809997558594
89,8.129024505615234
90,8.212709426879883
91,10.021591186523438
92,11.108636856079102
93,8.882617950439453
94,8.66246223449707
95,9.87696647644043
96,9.53836441040039
97,13.185310363769531
98,7.5290679931640625
