,w10max
0,10.783364295959473
1,11.489484786987305
2,11.229637145996094
3,12.928513526916504
4,14.645553588867188
5,13.462337493896484
6,13.021419525146484
7,13.37808609008789
8,13.610112190246582
9,14.127208709716797
10,15.206225395202637
11,14.676680564880371
12,15.515122413635254
13,15.723787307739258
14,16.566946029663086
15,17.161346435546875
16,17.886972427368164
17,19.338388442993164
18,19.881471633911133
19,22.43802261352539
20,21.094188690185547
21,22.834064483642578
22,22.35451889038086
23,24.313173294067383
24,23.047510147094727
25,21.11283302307129
26,19.794450759887695
27,20.351207733154297
28,21.587236404418945
29,22.937986373901367
30,23.943830490112305
31,23.428691864013672
32,22.416893005371094
33,22.333797454833984
34,24.130733489990234
35,23.658655166625977
36,23.105655670166016
37,25.2457218170166
38,26.581188201904297
39,27.203670501708984
40,26.481950759887695
41,25.648860931396484
42,23.47067642211914
43,22.743194580078125
44,22.818687438964844
45,21.675020217895508
46,21.2867374420166
47,21.141963958740234
48,20.584814071655273
49,19.099903106689453
50,17.465234756469727
51,17.213241577148438
52,14.739045143127441
53,11.95452880859375
54,10.798277854919434
55,10.488181114196777
56,9.928099632263184
57,9.051910400390625
58,7.2703704833984375
59,6.930105686187744
60,7.267953872680664
