,w10max
0,10.740673065185547
1,10.087695121765137
2,10.753396034240723
3,11.593668937683105
4,10.353281021118164
5,11.066041946411133
6,10.78701400756836
7,10.864259719848633
8,10.70671558380127
9,10.02995491027832
10,9.883231163024902
11,10.543030738830566
12,10.169560432434082
13,10.77915096282959
14,11.225602149963379
15,11.361376762390137
16,13.58475399017334
17,14.44179630279541
18,14.55054759979248
19,15.205260276794434
20,15.473637580871582
21,17.808082580566406
22,17.142141342163086
23,17.449949264526367
24,16.826438903808594
25,17.635404586791992
26,18.41825294494629
27,17.044307708740234
28,16.973161697387695
29,15.770586967468262
30,17.80504035949707
31,19.376544952392578
32,18.576190948486328
33,16.765819549560547
34,16.501604080200195
35,16.738941192626953
36,17.208202362060547
37,17.91316795349121
38,17.617591857910156
39,17.85904312133789
40,18.48158073425293
41,19.36077880859375
42,19.871774673461914
43,21.08553695678711
44,21.84153938293457
45,22.51824188232422
46,22.51982879638672
47,20.74197769165039
48,21.8197078704834
49,23.025169372558594
50,24.67397117614746
51,24.813459396362305
52,24.53622055053711
53,25.51262855529785
54,25.631441116333008
55,25.809375762939453
56,23.27387046813965
57,23.111122131347656
58,21.509485244750977
59,17.772415161132812
60,15.262870788574219
61,14.5772123336792
62,12.37049388885498
63,12.06778335571289
64,8.593443870544434
