,tot_Prec_max
0,11.931896209716797
1,13.158798217773438
2,6.8531036376953125
3,10.880470275878906
4,13.040542602539062
5,8.845329284667969
6,8.636474609375
7,10.376930236816406
8,7.884979248046875
9,7.7304840087890625
10,9.124279022216797
11,8.928298950195312
12,9.701251983642578
13,8.871078491210938
14,7.7228546142578125
15,7.002353668212891
16,5.187034606933594
17,7.936000823974609
18,8.111000061035156
19,1.6345977783203125
20,2.1085739135742188
21,2.0399093627929688
22,1.5578269958496094
23,1.5921592712402344
24,3.551006317138672
25,1.2664794921875
26,2.3484230041503906
27,0.8044242858886719
28,0.46253204345703125
29,0.6256103515625
30,1.0781288146972656
31,1.4491081237792969
32,0.7672309875488281
33,0.8029937744140625
34,0.8955001831054688
35,1.4514923095703125
36,4.366397857666016
37,5.6362152099609375
38,1.6674995422363281
39,0.885009765625
40,0.4401206970214844
