,w10max
0,11.478184700012207
1,11.385547637939453
2,11.91099739074707
3,11.319158554077148
4,11.194127082824707
5,11.188121795654297
6,11.117698669433594
7,10.137237548828125
8,10.404569625854492
9,11.243367195129395
10,10.60696792602539
11,11.65441608428955
12,12.95740795135498
13,14.240708351135254
14,15.085745811462402
15,17.03537940979004
16,16.976165771484375
17,15.076103210449219
18,14.602398872375488
19,15.093862533569336
20,14.42758560180664
21,13.882570266723633
22,14.05634880065918
23,14.470846176147461
24,15.211260795593262
25,15.406246185302734
26,14.815030097961426
27,14.642831802368164
28,15.409509658813477
29,15.793184280395508
30,13.292410850524902
31,14.420101165771484
32,15.335939407348633
33,17.315996170043945
34,15.996582984924316
35,16.765148162841797
36,17.90694236755371
37,19.030094146728516
38,16.709766387939453
39,15.18095588684082
40,14.877954483032227
41,14.655817031860352
42,14.314494132995605
43,14.971598625183105
44,14.868805885314941
45,14.908008575439453
46,13.928740501403809
47,13.997803688049316
48,13.91886043548584
49,14.494712829589844
50,13.955965042114258
51,13.672870635986328
52,13.597545623779297
53,13.292874336242676
54,13.125314712524414
55,13.326647758483887
56,13.407186508178711
57,14.167410850524902
58,15.915726661682129
59,16.337005615234375
60,16.25352668762207
61,16.892581939697266
62,15.821221351623535
63,15.661471366882324
64,15.6306791305542
65,15.518285751342773
66,16.514101028442383
67,17.845630645751953
68,18.787076950073242
69,17.068025588989258
70,18.840261459350586
71,20.040340423583984
72,21.695152282714844
73,23.258060455322266
74,22.78019142150879
75,23.927492141723633
76,25.671293258666992
77,25.428077697753906
78,22.024497985839844
79,21.348054885864258
80,20.653059005737305
81,20.35616111755371
82,19.571529388427734
83,19.74118423461914
84,18.583942413330078
85,18.481504440307617
86,18.4995174407959
87,18.8803653717041
88,17.0948429107666
89,15.992074012756348
90,15.229084014892578
91,14.354113578796387
92,14.0889253616333
93,13.525001525878906
94,13.11550521850586
95,12.593490600585938
96,12.490105628967285
97,13.490530967712402
98,14.131878852844238
99,14.606680870056152
100,14.623311042785645
101,15.538684844970703
102,16.372440338134766
