,Prec_Intg
0,255.04512712359428
1,294.02241110801697
2,248.05184453725815
3,234.2728152871132
4,168.27614977955818
5,186.90899014472961
6,256.7879855632782
7,274.85011145472527
8,284.41891074180603
9,277.87545695900917
10,281.79794549942017
11,328.92409712076187
12,378.11100482940674
13,408.84120389819145
14,356.239452958107
15,394.19833570718765
16,361.2254559993744
17,355.9788875281811
18,374.68956783413887
19,422.6817563176155
20,478.5269498825073
21,491.4211668074131
22,485.55707558989525
23,517.1707086265087
24,480.9274151921272
25,402.20335125923157
26,397.8876583278179
27,464.78819102048874
28,515.2731947600842
29,514.280628412962
30,514.6107636392117
31,513.9591731131077
32,504.88196313381195
33,465.33921733498573
34,422.73392900824547
35,442.6146298646927
36,417.50358417630196
37,357.5778566300869
38,302.97599732875824
39,290.6057611107826
40,284.4415046274662
41,332.57927745580673
42,309.7330965101719
43,225.20609200000763
44,241.29321798682213
45,253.482386469841
46,235.08287966251373
47,211.29850298166275
48,204.73334938287735
49,157.20687806606293
50,130.20990416407585
51,132.6916366815567
52,137.5379040837288
53,187.38701939582825
54,173.67606982588768
55,150.84104612469673
56,179.01653423905373
57,189.81246277689934
58,241.27621203660965
59,273.837111890316
60,327.2582218050957
61,392.747949808836
