,Pmin
0,1005.88625
1,1007.926875
2,1007.305
3,1005.155625
4,1005.48625
5,1007.17875
6,1006.9325
7,1003.699375
8,1003.778125
9,1005.53875
10,1004.72875
11,1002.3275
12,1002.144375
13,1003.42875
14,1002.19625
15,999.7025
16,999.88125
17,1001.415625
18,1000.536875
19,998.11125
20,998.261875
21,997.6075
22,994.891875
23,992.57
24,992.300625
25,992.26
26,992.716875
27,989.78625
28,991.666875
29,994.56375
30,994.046875
31,991.655
32,993.1275
33,994.43
34,993.57875
35,991.254375
36,992.745625
37,994.895
38,992.95375
39,990.018125
40,991.5525
41,994.098125
42,992.863125
43,990.53875
44,987.6725
45,988.97
46,987.933125
47,985.651875
48,984.924375
49,987.64625
50,986.185625
51,983.5575
52,984.088125
53,985.423125
54,984.62
55,982.469375
56,982.176875
57,983.98625
