,Prec_Intg
0,218.60217675566673
1,199.16698336601257
2,221.05375304818153
3,190.80936908721924
4,156.12265095114708
5,167.00968146324158
6,216.77952259778976
7,272.0936946570873
8,324.6280737221241
9,337.5638276338577
10,402.8978571295738
11,395.0721211731434
12,404.76564317941666
13,356.76589235663414
14,367.63403564691544
15,457.4618488550186
16,499.88629296422005
17,582.4938416481018
18,624.7383169829845
19,552.515983581543
20,463.44898641109467
21,374.90034475922585
22,377.013236284256
23,465.0493152439594
24,444.4664344191551
25,445.5845430493355
26,402.9802978038788
27,488.32882195711136
28,418.238528072834
29,382.61212408542633
30,360.60893908143044
31,465.51069244742393
32,479.2995937168598
33,477.5451309978962
34,458.3681933581829
35,506.7354440689087
36,423.6729070544243
37,367.33726039528847
38,392.3722356557846
39,418.58725249767303
40,409.2693328857422
41,465.32802283763885
42,386.697705835104
43,414.91422802209854
44,446.57377526164055
45,359.81733351945877
46,379.377119243145
47,386.5055739879608
48,357.37935453653336
49,284.79475528001785
50,257.1392059326172
