,Prec_Intg
0,266.9578231871128
1,292.5308980047703
2,293.1308187544346
3,302.0768240094185
4,298.6149489879608
5,279.21663597226143
6,234.5438301563263
7,250.2896450459957
8,221.8293771147728
9,216.9445902109146
10,220.44353187084198
11,199.28762689232826
12,198.9477127790451
13,239.99759927392006
14,269.04160156846046
15,276.1213108897209
16,282.40684419870377
17,254.82431054115295
18,213.10441195964813
19,171.13199457526207
20,129.06717136502266
21,138.46756890416145
22,188.28773871064186
23,181.18640407919884
24,173.52426424622536
25,184.0817928314209
26,142.87494122982025
27,124.29313734173775
28,114.76187035441399
29,128.083024173975
30,97.1975177526474
31,104.79480028152466
32,111.05919256806374
33,129.72982600331306
34,93.869399279356
35,85.02267301082611
36,89.48773145675659
37,133.24392959475517
38,138.78552243113518
39,127.08950787782669
40,113.78753930330276
41,92.07852184772491
42,79.85720410943031
43,71.98235020041466
44,71.87524810433388
45,116.53225868940353
46,176.15420743823051
47,172.35567793250084
48,184.29437652230263
49,163.43440860509872
50,103.97391393780708
51,68.91421973705292
52,54.323505610227585
53,63.35727870464325
