,Pmin
0,998.276875
1,996.164375
2,994.01375
3,994.735
4,995.074375
5,992.728125
6,988.973125
7,986.78375
8,987.163125
9,986.468125
10,984.104375
11,985.130625
12,985.965625
13,984.475
14,982.26125
15,984.7025
16,985.700625
17,985.013125
18,983.563125
19,982.413125
20,984.2275
21,982.49
22,979.28875
23,980.68625
24,981.13125
25,980.871875
26,979.5625
27,982.99625
28,985.89125
29,985.26875
30,984.816875
31,984.035
32,984.40375
33,986.825625
34,987.00125
35,988.986875
36,991.680625
37,991.22125
38,992.575
39,992.935
40,992.666875
41,992.34125
42,991.668125
43,992.035
44,994.115
45,993.211875
46,994.283125
47,995.353125
48,996.32875
