,Pmin
0,1008.61625
1,1007.114375
2,1005.845625
3,1007.26625
4,1008.044375
5,1006.845625
6,1005.115625
7,1005.71
8,1007.125
9,1006.006875
10,1005.1225
11,1006.546875
12,1007.563125
13,1006.479375
14,1004.94
15,1006.1875
16,1007.284375
17,1004.74125
18,1003.316875
19,1004.329375
20,1005.90375
21,1004.293125
22,1003.28125
23,1004.39625
24,1004.791875
25,1002.94875
26,1001.9875
27,1003.5825
28,1005.746875
29,1004.48375
30,1003.586875
31,1004.67625
32,1008.510625
33,1007.934375
34,1007.4525
35,1008.59375
36,1011.105625
37,1010.46
38,1009.73625
39,1010.505625
40,1012.133125
41,1012.185
42,1011.470625
43,1012.3325
44,1012.985
45,1012.436875
46,1011.269375
