,Pmin
0,1002.548125
1,1000.284375
2,1000.52625
3,1001.921875
4,1001.651875
5,999.235
6,999.3475
7,1000.628125
8,1001.904375
9,1000.355
10,1000.035625
11,1002.125
12,1003.406875
13,1001.55875
14,999.84625
15,1000.591875
16,1001.450625
17,999.179375
18,997.269375
19,998.9075
20,1000.77125
21,999.086875
22,996.315625
23,998.40125
24,999.033125
25,996.5
26,997.26875
27,996.188125
28,996.104375
29,997.484375
30,997.18875
31,998.263125
32,998.964375
33,998.64
34,997.875625
35,998.55875
36,999.359375
37,1000.321875
38,997.996875
39,997.058125
40,997.228125
