,tot_Prec_Intg
0,505.218356847763
1,653.360858559608
2,553.54006588459
3,343.542248010635
4,325.624868273735
5,505.709648132324
6,448.324829339981
7,478.865280747414
8,558.607876300812
9,582.723841071129
10,488.563030958176
11,425.028577446938
12,419.803112745285
13,464.780330657959
14,491.526871919632
15,395.062863826752
16,293.227881193161
17,334.955528378487
18,295.251756906509
19,238.459184765816
20,258.323699235916
21,298.174768686295
22,333.372876048088
23,379.503890872002
24,294.804722070694
25,258.942767977715
26,224.324390292168
27,166.382938623428
28,214.141458272934
29,256.013423204422
30,195.932760834694
31,224.668085575104
32,181.545242667198
33,198.637321591377
34,197.211056947708
35,145.024359226227
36,174.186080694199
37,141.96403324604
38,176.631659269333
39,165.635198354721
40,118.763297796249
41,162.598788738251
42,211.155489087105
43,167.866796255112
44,227.481499314308
45,219.356417655945
46,255.120098590851
47,138.535127043724
48,61.5635514259338
49,71.3801383972168
50,99.2023944854736
51,119.640380144119
52,178.806781768799
53,259.693115949631
54,270.700305700302
55,218.338966369629
56,142.918676137924
57,156.064331531525
