,Pmin
0,1007.4675
1,1005.22625
2,1003.789375
3,1005.335625
4,1007.56875
5,1005.5325
6,1004.15625
7,1005.515
8,1005.56
9,1003.980625
10,1002.126875
11,1002.106875
12,1004.20625
13,1001.286875
14,998.371875
15,999.099375
16,999.349375
17,996.878125
18,994.185625
19,995.225625
20,996.220625
21,994.085625
22,992.553125
23,993.066875
24,992.739375
25,990.206875
26,988.0975
27,987.43125
28,987.823125
29,985.30875
30,982.840625
31,982.499375
32,980.26125
33,978.06875
34,975.420625
35,975.13125
36,973.436875
37,970.729375
38,968.34125
39,967.1475
40,966.995
41,964.110625
42,962.721875
43,964.2725
44,967.794375
45,967.005625
46,964.13375
47,965.043125
48,968.830625
49,970.2475
50,970.280625
51,971.94
52,975.83375
53,975.931875
54,975.509375
55,977.405625
56,979.448125
57,979.36625
58,979.646875
59,979.8475
60,981.744375
61,980.505625
62,978.780625
63,978.621875
64,980.006875
65,979.7575
66,980.245625
67,981.546875
68,982.974375
69,987.1125
70,988.08375
71,988.204375
72,990.854375
73,989.204375
74,988.543125
75,988.895
