,Prec_Intg
0,198.54871556162834
1,184.79466438293457
2,174.57924783229828
3,248.37076663970947
4,264.1025371849537
5,236.58448830246925
6,190.55552780628204
7,229.16579619050026
8,162.87367790937424
9,104.95603084564209
10,110.12079194188118
11,157.7242650091648
12,195.17794251441956
13,233.10257121920586
14,174.07890409231186
15,120.17088010907173
16,87.74273097515106
17,80.80514147877693
18,102.55537927150726
19,143.87212693691254
20,196.62851467728615
21,220.37507966160774
22,169.23457384109497
23,151.3838768005371
24,111.43390089273453
25,111.14224791526794
26,129.80574741959572
27,159.5035009086132
28,169.44868490099907
29,167.09955409169197
30,148.56543391942978
31,137.2196152806282
32,139.45426791906357
33,148.7300731241703
34,131.67358934879303
35,188.3454993367195
36,191.3091540336609
37,189.4952543079853
38,188.9444701373577
39,194.0951868891716
40,182.50228837132454
41,191.25277176499367
42,214.19037133455276
43,246.18132039904594
44,256.0431696474552
45,251.19883939623833
46,236.58741265535355
47,219.7769284248352
48,160.89729964733124
49,140.26176184415817
50,149.11498874425888
51,175.8916676044464
52,233.2790195941925
