,tot_Prec_Intg
0,995.495691895485
1,1167.29229688644
2,1283.47277641296
3,1366.42746627331
4,1331.92822337151
5,1131.40158355236
6,903.068706393242
7,679.27673459053
8,555.790960788727
9,559.412240982056
10,543.728768825531
11,492.925569415093
12,545.891895890236
13,565.89350104332
14,457.828193902969
15,336.423069238663
16,307.938829064369
17,353.48504781723
18,499.881505966187
19,476.100146770477
20,360.480397939682
21,323.348790407181
22,229.123011231422
23,134.706795215607
24,224.355757236481
25,422.997325658798
26,433.446988463402
27,505.656152963638
28,575.24174451828
29,428.857654333115
30,363.438427448273
31,229.552686214447
32,242.312550544739
33,426.097437739372
34,609.349384903908
35,689.912065863609
36,782.806873321533
37,637.736096978188
38,491.513088345528
39,485.062003135681
40,574.103593826294
41,332.193747162819
42,406.591892242432
43,345.882102847099
44,354.479998350143
45,271.761864423752
