,Pmin
0,1009.48375
1,1010.8525
2,1010.513125
3,1008.350625
4,1007.9725
5,1009.59625
6,1009.5775
7,1008.450625
8,1007.24875
9,1008.82125
10,1007.979375
11,1004.92
12,1004.0975
13,1005.596875
14,1005.818125
15,1003.744375
16,1002.9025
17,1003.094375
18,1003.24625
19,1000.08375
20,999.4
21,1000.681875
22,1001.578125
23,999.07875
24,997.7375
25,999.25375
26,998.06125
27,993.771875
28,992.445625
29,993.560625
30,994.778125
31,989.82625
32,988.140625
33,988.84875
34,988.108125
35,984.930625
36,982.925625
37,984.59125
38,983.358125
39,981.861875
40,980.245
41,979.236875
42,980.3075
43,976.826875
44,973.165625
45,972.551875
46,972.70625
47,972.63875
48,970.488125
49,969.7275
50,969.496875
51,967.509375
52,965.291875
53,963.335
54,965.805
55,964.9075
56,965.39875
57,966.05625
58,971.246875
59,970.03625
60,970.1075
61,972.65875
62,976.145625
63,979.360625
64,980.969375
65,983.2425
66,986.204375
67,985.18875
68,984.92625
69,986.14875
70,988.06125
71,989.591875
72,989.533125
73,991.43
74,994.686875
75,994.770625
76,993.27875
77,994.16375
78,997.598125
79,999.438125
80,999.248125
81,1000.43125
82,1005.431875
83,1006.344375
84,1005.1375
85,1004.3975
86,1005.9425
87,1006.730625
88,1005.58
89,1005.5475
90,1008.42625
91,1008.3825
92,1007.624375
93,1006.77125
94,1009.233125
95,1010.119375
96,1008.82625
97,1008.434375
98,1010.425
