,Pmin
0,1007.069375
1,1008.814375
2,1009.1475
3,1007.325625
4,1006.491875
5,1007.41625
6,1008.126875
7,1007.226875
8,1005.9825
9,1007.088125
10,1008.363125
11,1006.84375
12,1005.370625
13,1006.01375
14,1007.470625
15,1006.574375
16,1004.153125
17,1005.80375
18,1007.375
19,1005.5675
20,1003.753125
21,1004.8125
22,1006.638125
23,1005.998125
24,1004.06375
25,1005.08
26,1006.346875
27,1005.08875
28,1003.25625
29,1003.889375
30,1003.534375
31,1002.8875
32,1001.06875
33,1001.795625
34,1003.360625
35,1002.826875
36,1001.3125
37,1003.3475
38,1005.085625
39,1003.104375
40,1002.0275
41,1002.493125
42,1004.705
43,1003.771875
44,1000.536875
45,1001.439375
46,1004.20125
47,1004.571875
48,1002.97375
49,1001.698125
50,1003.05125
51,1003.68375
52,1000.838125
53,1001.186875
54,1003.97625
55,1005.119375
56,1004.05
57,1003.71875
58,1006.248125
59,1006.57125
60,1004.445
