,tot_Prec_max
0,14.470577239990234
1,21.99554443359375
2,23.38123321533203
3,24.268150329589844
4,16.571998596191406
5,15.3656005859375
6,14.301776885986328
7,34.401893615722656
8,26.10492706298828
9,13.02194595336914
10,9.04226303100586
11,11.287689208984375
12,16.998767852783203
13,14.983654022216797
14,18.120765686035156
15,13.212203979492188
16,14.399528503417969
17,16.295433044433594
18,18.56708526611328
19,26.46350860595703
20,19.368648529052734
21,20.132064819335938
22,12.6190185546875
23,30.389785766601562
24,11.0931396484375
25,12.794971466064453
26,9.398460388183594
27,12.419700622558594
28,17.747879028320312
29,27.050495147705078
30,18.57471466064453
31,23.741722106933594
32,28.23925018310547
33,20.356178283691406
34,20.56407928466797
35,20.97606658935547
36,25.11310577392578
37,21.069049835205078
38,16.459941864013672
39,13.723373413085938
40,9.922504425048828
41,12.587547302246094
42,12.795448303222656
43,23.589611053466797
44,18.005847930908203
45,17.43793487548828
46,15.472412109375
47,11.52658462524414
48,8.469581604003906
49,8.832931518554688
50,4.886150360107422
51,16.269683837890625
52,10.741710662841797
53,11.444091796875
54,12.457847595214844
55,9.768009185791016
56,11.350631713867188
