,Pmin
0,1006.3125
1,1003.171875
2,1002.19625
3,1004.44625
4,1004.81
5,1002.08375
6,1000.77375
7,1002.81125
8,1001.67
9,997.3925
10,998.69375
11,1000.185
12,999.624375
13,995.6475
14,992.605
15,995.225
16,994.5375
17,992.413125
18,991.749375
19,993.956875
20,993.1975
21,990.326875
22,991.1925
23,991.176875
24,990.3375
25,987.38625
26,985.15375
27,987.10625
28,989.149375
29,987.39875
30,986.720625
31,988.17125
32,990.2675
33,989.7675
34,989.02625
35,988.2
36,988.133125
37,985.64875
38,983.56875
39,983.90875
40,986.5475
41,987.1025
42,988.265625
43,988.446875
44,991.44625
45,990.086875
46,990.560625
47,991.481875
48,991.199375
49,991.924375
50,997.30875
51,999.775625
52,1000.905625
53,998.974375
54,1000.63125
