,Pmin
0,1007.121875
1,1004.545
2,1002.81375
3,1003.651875
4,1004.7475
5,1002.8225
6,1000.93375
7,1001.63875
8,1002.15
9,999.853125
10,998.2025
11,999.01
12,999.5925
13,998.148125
14,996.211875
15,996.5475
16,997.7075
17,995.335
18,992.691875
19,992.56625
20,991.168125
21,989.42375
22,986.83875
23,985.94625
24,988.2025
25,985.746875
26,982.870625
27,982.353125
28,982.650625
29,980.69875
30,978.933125
31,979.39875
32,978.01
33,977.225625
34,975.604375
35,976.080625
36,974.91625
37,971.55125
38,969.439375
39,968.565625
40,971.26125
41,968.130625
42,967.46625
43,968.57
44,970.715625
45,970.02125
46,969.5525
47,970.1575
48,972.555
49,972.129375
50,970.80875
51,975.340625
52,978.47
53,979.903125
54,981.029375
55,982.61625
56,986.955
57,988.155625
58,988.4675
59,988.826875
60,990.125625
61,990.16375
