,Pmin
0,1007.168125
1,1008.6375
2,1009.820625
3,1008.25875
4,1007.1175
5,1008.1975
6,1009.8
7,1009.275625
8,1007.804375
9,1008.384375
10,1009.370625
11,1008.105
12,1006.51
13,1007.08125
14,1008.389375
15,1007.666875
16,1005.62625
17,1006.1625
18,1006.936875
19,1006.79625
20,1004.915625
21,1005.70375
22,1007.39875
23,1006.920625
24,1005.126875
25,1005.963125
26,1007.428125
27,1007.011875
28,1005.441875
29,1005.555625
30,1007.5725
31,1007.76625
32,1005.77625
33,1006.51
34,1007.86875
35,1007.5725
36,1005.85625
37,1005.99125
38,1007.824375
39,1008.34875
40,1006.465625
41,1007.505
42,1008.561875
43,1008.0275
44,1006.00875
45,1006.359375
46,1007.365625
47,1006.481875
48,1004.66375
49,1005.50875
50,1007.099375
51,1006.47375
52,1005.90625
