,Prec_max
0,2.767181396484375
1,2.668905258178711
2,19.524765014648438
3,15.256834030151367
4,20.577478408813477
5,8.230733871459961
6,5.124092102050781
7,10.187673568725586
8,6.748437881469727
9,4.976463317871094
10,19.761228561401367
11,21.19760513305664
12,10.420703887939453
13,9.174442291259766
14,6.247186660766602
15,7.196044921875
16,7.406759262084961
17,8.025598526000977
18,10.225868225097656
19,7.441091537475586
20,7.3711395263671875
21,7.513189315795898
22,9.046125411987305
23,10.045623779296875
24,17.183303833007812
25,12.383651733398438
26,12.031316757202148
27,13.258695602416992
28,9.059000015258789
29,7.797718048095703
30,6.833839416503906
31,9.604024887084961
32,12.737274169921875
33,11.16185188293457
34,17.20905303955078
35,15.471839904785156
36,18.075942993164062
37,13.232088088989258
38,14.778757095336914
39,16.65501594543457
40,12.089681625366211
41,13.416624069213867
42,21.67525291442871
43,16.412973403930664
44,16.25204086303711
45,13.470697402954102
46,14.681339263916016
47,16.081666946411133
48,14.341020584106445
49,21.12593650817871
50,17.94590950012207
51,15.825462341308594
52,17.82402992248535
53,19.964218139648438
54,26.505374908447266
