,u10,v10,2mdewtmp,2mtmp,conv_ppt,tot_cld_ice,tot_cldwtr,tot_cld_rain,vi_div_cld_froz_wtr,vi_div_cld_liq_wtr,vi_div_gpot_flux,vi_div_ke_flux,vi_div_mass_flux,vi_div_moisture_flux,vi_div_olr_flux,vi_div_tot_enrgy_flux,vi_ke,vi_pe_inte,vi_pe_ie_latentenrgy,vi_temp,vi_olr,vi_tot_enrgy,vi_moisture_div,cape,inst_10m_wnd_gst,inst_moisture_flux,inst_ssh_flux,surfmean_swr_flux,surfmean_lhf,surfmean_lwr_flux,surfmean_shf,dwnwrdmean_swr_flux,topmean_lwr_flux,topmean_swr_flux,vimean_moisture_div,surf_lhf,surf_shf,tot_suprcool_liqwtr,tot_wtr_vpr,mslp,conv_rrate,ls_rrate,mn_conv_prate,mn_ls_prate,mn_tot_prate,sst,vort_10,vort_20,vort_30,vort_50,vort_70,vort_100,vort_150,vort_200,vort_250,vort_300,vort_400,vort_500,vort_600,vort_700,vort_800,vort_850,vort_900,vort_925,vort_950,vort_975,vort_1000,rhum_10,rhum_20,rhum_30,rhum_50,rhum_70,rhum_100,rhum_150,rhum_200,rhum_250,rhum_300,rhum_400,rhum_500,rhum_600,rhum_700,rhum_800,rhum_850,rhum_900,rhum_925,rhum_950,rhum_975,rhum_1000,gpot_10,gpot_20,gpot_30,gpot_50,gpot_70,gpot_100,gpot_150,gpot_200,gpot_250,gpot_300,gpot_400,gpot_500,gpot_600,gpot_700,gpot_800,gpot_850,gpot_900,gpot_925,gpot_950,gpot_975,gpot_1000,vvel_10,vvel_20,vvel_30,vvel_50,vvel_70,vvel_100,vvel_150,vvel_200,vvel_250,vvel_300,vvel_400,vvel_500,vvel_600,vvel_700,vvel_850,vvel_925,vvel_975,vvel_1000
0,-1.6063804626464844,-0.7755279541015625,296.65806579589844,299.28214263916016,0.000589100643992424,0.11569905281066895,0.23783493041992188,0.20532894134521484,6.7837536334991455e-06,1.971086021512747e-06,3381.9921875,1.31005859375,0.003366246819496155,-0.0003360230475664139,-1168.140625,1344.71484375,468221.0,2680855296.0,2828033408.0,2654139.875,2680776192.0,2828504576.0,-1.0175209045410156,422.484375,8.136399023234844,-4.998099757358432e-05,-18.76025390625,205.1781005859375,-130.5831298828125,-39.930023193359375,-19.44085693359375,1197.5184326171875,-178.77337646484375,712.1312255859375,-0.00028265174478292465,-470099.0,-69988.0,0.13562166690826416,58.852806091308594,1007.80177734375,0.00017808331176638603,0.00018392037600278854,0.00016363803297281265,0.00018180767074227333,0.0003454349935054779,301.7732276916504,-1.322518801316619e-05,2.287242386955768e-05,-1.556093047838658e-05,-7.709837518632412e-06,1.353668631054461e-05,4.590139724314213e-06,-1.7779573681764305e-05,-1.2808945029973984e-05,-9.565905202180147e-06,-1.0222196578979492e-05,1.8599210307002068e-05,3.0566356144845486e-05,3.468536306172609e-05,3.9064791053533554e-05,4.96723223477602e-05,5.3955474868416786e-05,5.461159162223339e-05,5.274685099720955e-05,5.171680822968483e-05,4.9506546929478645e-05,4.6483008190989494e-05,0.05210711807012558,0.2550216842791997,0.7395191788673401,10.318239212036133,24.88431739807129,111.59006404876709,94.31181335449219,92.01541137695312,68.74945658445358,59.97419012337923,66.72005462646484,82.6614383161068,91.90088653564453,83.55208587646484,85.24234771728516,88.2977294921875,91.73050689697266,94.12310791015625,95.47105407714844,92.8355712890625,86.16790008544922,301720.88671875,257105.728515625,231363.333984375,200777.435546875,181514.40625,162021.49609375,139296.775390625,121831.3291015625,107344.7431640625,94881.109375,74135.4013671875,57227.4111328125,42949.4814453125,30566.76025390625,19579.640625,14512.3212890625,9689.0244140625,7360.7490234375,5084.4892578125,2857.2353515625,673.228515625,-0.0020596273243427277,-0.00793302059173584,0.0014332085847854614,-0.005691975355148315,-0.005869090557098389,-0.017301082611083984,-0.01566791534423828,-0.11765003204345703,-0.18039417266845703,-0.25382423400878906,-0.30849742889404297,-0.3228588104248047,-0.32552051544189453,-0.34024810791015625,-0.18950176239013672,-0.12625980377197266,-0.07007217407226562,-0.04169273376464844
1,-1.6886444091796875,-1.1287689208984375,296.7844696044922,299.02552032470703,0.0006280010566115379,0.14198541641235352,0.24139654636383057,0.19579410552978516,5.865484126843512e-06,2.6408815756440163e-07,3034.10546875,2.291259765625,0.0018863976001739502,-0.0002624094486236572,-1609.609375,757.90234375,456169.125,2674472832.0,2821452416.0,2647819.0,2674396416.0,2821906944.0,-1.0075111389160156,445.515625,7.811014406383038,-4.7961395466700196e-05,-21.33599853515625,123.6402587890625,-121.6383056640625,-40.59814453125,-20.77349853515625,858.477783203125,-179.74609375,446.5745849609375,-0.0002798689529299736,-437903.75,-74784.75,0.16000044345855713,58.772037506103516,1005.703466796875,0.00017055077478289604,0.000204447191208601,0.00017444416880607605,0.00021346379071474075,0.0003879140131175518,301.80137634277344,-1.7063997802324593e-05,1.1285825166851282e-05,-1.3617551303468645e-05,-8.484465070068836e-06,1.5741519746370614e-05,-1.5671830624341965e-06,-1.4448683941736817e-05,-9.30792884901166e-06,-1.6868754755705595e-05,-8.775969035923481e-06,1.8905033357441425e-05,3.5946257412433624e-05,4.012114368379116e-05,4.1201827116310596e-05,5.287409294396639e-05,5.563278682529926e-05,5.51056582480669e-05,5.360320210456848e-05,5.147908814251423e-05,4.811515100300312e-05,4.444317892193794e-05,0.04347335547208786,0.2985380291938782,0.8060611486434937,11.703954696655273,26.993321977555752,99.44941711425781,96.5922471433878,95.25503540039062,65.5383453629911,60.399085998535156,72.4267807006836,83.46366119384766,92.56245422363281,83.01819610595703,84.35979461669922,87.80009460449219,92.17256927490234,94.72614288330078,95.44459533691406,95.49131774902344,88.47057342529297,301344.529296875,256728.53125,231148.037109375,200588.8779296875,181427.9072265625,161864.0302734375,139166.2685546875,121678.62890625,107172.5400390625,94698.8740234375,73957.2919921875,57054.025390625,42772.0029296875,30384.568359375,19392.26123046875,14324.443359375,9502.345703125,7174.8486328125,4899.6103515625,2674.53759765625,492.3251953125,3.7319958209991455e-05,-0.0034960657358169556,-0.00030040740966796875,-0.004342138767242432,-0.007243990898132324,0.011437773704528809,-0.03097248077392578,-0.17029476165771484,-0.2628202438354492,-0.32703113555908203,-0.31569385528564453,-0.25455379486083984,-0.20528793334960938,-0.19540786743164062,-0.10839271545410156,-0.07367420196533203,-0.038315773010253906,-0.021015167236328125
2,-2.6061363220214844,0.09798431396484375,296.82843017578125,298.99536895751953,0.0005064001306891441,0.1213843822479248,0.20542895793914795,0.1470017433166504,2.9040384106338024e-06,2.553570084273815e-07,2035.19140625,0.529541015625,-0.001834779977798462,-0.00019835215061903,-2141.05078125,-566.4296875,466600.5625,2677009408.0,2824465792.0,2650311.25,2676948096.0,2824932992.0,-0.8810882568359375,424.02783203125,7.998015198856592,-5.186052294448018e-05,-19.65557861328125,0.5322265625,-121.2459716796875,-38.13287353515625,-20.975341796875,31.6031494140625,-177.96322631835938,12.9979248046875,-0.0002447487786412239,-436492.25,-75515.0,0.12341129779815674,58.96453857421875,1006.399873046875,0.0001246333122253418,0.0001798016019165516,0.00014066905714571476,0.0001865345984697342,0.0003272108733654022,301.82962799072266,-1.6171994502656162e-05,5.365145625546575e-07,-1.3098891940899193e-05,-6.470538210123777e-06,1.705091563053429e-05,-3.0810770113021135e-06,-3.094610292464495e-05,-2.6201654691249132e-05,-2.3017986677587032e-05,-7.848022505640984e-06,2.048979513347149e-05,3.0728173442184925e-05,3.326416481286287e-05,4.231266211718321e-05,5.6822202168405056e-05,5.9954822063446045e-05,6.0621416196227074e-05,5.872640758752823e-05,5.484605208039284e-05,5.0970353186130524e-05,4.765903577208519e-05,0.04093492776155472,0.3042888343334198,0.9283630060963333,10.25078010559082,30.65740966796875,96.17074592411518,96.49858085811138,92.25575256347656,66.86531236767769,60.79292266070843,74.57499694824219,85.18004608154297,93.78746795654297,83.06657409667969,84.52361297607422,87.42465209960938,89.82037353515625,91.41048431396484,93.45176696777344,93.87813568115234,86.58328247070312,301473.408203125,256715.63671875,231301.279296875,200650.0703125,181518.78125,161969.9873046875,139235.5498046875,121751.888671875,107246.7724609375,94771.9755859375,74031.3291015625,57126.228515625,42845.2958984375,30454.1181640625,19459.86376953125,14391.212890625,9567.77734375,7239.5888671875,4963.3349609375,2736.76513671875,552.6689453125,-7.598847150802612e-05,0.002490982413291931,0.0006279945373535156,0.008290112018585205,-0.0043836236000061035,0.00020009279251098633,-0.0657503604888916,-0.17616939544677734,-0.2330460548400879,-0.2531914710998535,-0.16219139099121094,-0.0923147201538086,-0.09981536865234375,-0.08250141143798828,-0.11348438262939453,-0.08775615692138672,-0.023014545440673828,0.010884284973144531
3,-2.42974853515625,0.253082275390625,296.7636260986328,299.1538848876953,0.0005177725106477737,0.10195839405059814,0.19012212753295898,0.12317562103271484,1.2849923223257065e-06,2.3398897610604763e-06,1558.76171875,-0.089599609375,-0.0016033798456192017,-0.00016843900084495544,-1728.8203125,-609.1796875,480467.1875,2682699136.0,2831330048.0,2655874.75,2682658688.0,2831812864.0,-0.8485107421875,388.55908203125,8.031557263806462,-5.2346469601616263e-05,-18.96905517578125,0.0,-127.689453125,-37.332489013671875,-19.57220458984375,0.0,-170.0384521484375,0.0,-0.00023566372692584991,-459679.75,-70459.5,0.12427985668182373,59.43380355834961,1008.25697265625,0.0001449105329811573,0.00016145780682563782,0.00014382926747202873,0.0001622391864657402,0.0003060661256313324,301.85578536987305,-2.4183100322261453e-05,1.313554821535945e-05,-1.3007025700062513e-05,-5.717913154512644e-06,1.845572842285037e-05,1.885928213596344e-08,-3.114156424999237e-05,-3.1305826269090176e-05,-2.6003282982856035e-05,-6.416928954422474e-06,2.214603591710329e-05,3.0335737392306328e-05,3.253784961998463e-05,4.136317875236273e-05,5.4734875448048115e-05,5.8758072555065155e-05,6.126100197434425e-05,6.069266237318516e-05,5.789613351225853e-05,5.409959703683853e-05,5.048280581831932e-05,0.038110122084617615,0.27363964915275574,0.8505454696714878,9.408712387084961,31.11871202290058,96.83592942357063,96.02471160888672,93.53007507324219,71.32931499183178,61.7838800996542,74.99789428710938,84.4748232215643,93.6978530883789,82.4758071899414,85.09757232666016,87.6578369140625,89.46626281738281,90.93872833251953,93.08320617675781,93.78167724609375,86.79745483398438,301797.005859375,257003.513671875,231529.40625,200822.2373046875,181643.8642578125,162023.388671875,139306.9609375,121854.009765625,107378.26953125,94925.43359375,74207.2373046875,57304.6318359375,43022.291015625,30626.3642578125,19625.33837890625,14553.927734375,9728.57421875,7399.630859375,5122.85400390625,2896.121337890625,712.5771484375,0.0021408163011074066,-0.0009752660989761353,0.001721605658531189,-0.0004604607820510864,-0.0019288063049316406,0.021431028842926025,-0.03232407569885254,-0.1389613151550293,-0.19394397735595703,-0.19856548309326172,-0.06659603118896484,-0.06711101531982422,-0.1391897201538086,-0.114166259765625,-0.11283493041992188,-0.09107017517089844,-0.027980327606201172,0.005860805511474609
4,-2.150665283203125,-0.2790489196777344,296.65111541748047,299.2075500488281,0.0004380829632282257,0.08264803886413574,0.17342662811279297,0.11878776550292969,6.954651325941086e-07,2.4506007321178913e-06,2000.8359375,0.76123046875,0.0025786608457565308,-0.00017334148287773132,-666.93359375,914.2265625,474794.375,2681588608.0,2830539648.0,2654735.0,2681544320.0,2831013760.0,-0.56512451171875,372.6220703125,7.735839859582484,-5.123513983562589e-05,-20.73919677734375,0.0,-122.5953369140625,-39.50146484375,-19.02410888671875,0.0,-176.60076904296875,0.0,-0.00015698373317718506,-441346.75,-68485.5,0.095572829246521,59.561622619628906,1007.96505859375,0.00012427009642124176,0.00014121923595666885,0.00012169033288955688,0.00014284439384937286,0.00026453472673892975,301.8749656677246,-3.009532520081848e-05,1.5202676877379417e-05,-1.54609588207677e-05,-7.89064506534487e-06,1.608859747648239e-05,5.514302756637335e-07,-3.69264162145555e-05,-3.275647759437561e-05,-2.6602938305586576e-05,-4.986184649169445e-06,2.4690874852240086e-05,2.8596725314855576e-05,3.0085910111665726e-05,4.2701372876763344e-05,5.4226256906986237e-05,5.747110117226839e-05,6.0600461438298225e-05,6.068719085305929e-05,5.8733043260872364e-05,5.55447768419981e-05,5.167047493159771e-05,0.030199706554412842,0.2946823537349701,0.8709582686424255,8.675068855285645,37.966270446777344,81.70026326179504,98.03221130371094,95.19032323360443,76.14182130992413,64.3056411743164,72.79089438915253,83.7541275024414,92.99517059326172,82.5589599609375,85.79120635986328,88.30907440185547,90.05786895751953,91.87234497070312,94.28170776367188,94.316650390625,87.48163604736328,301860.677734375,256882.53125,231450.662109375,200766.0537109375,181626.7548828125,161952.2529296875,139223.9873046875,121787.431640625,107334.83984375,94901.3203125,74192.564453125,57284.0166015625,43000.1279296875,30602.310546875,19598.52734375,14526.26171875,9700.6171875,7371.80859375,5095.5966796875,2869.638671875,687.0390625,0.0007266327738761902,0.0008180439472198486,-0.0002500861883163452,0.005846187472343445,-0.014715969562530518,0.023957788944244385,-0.031201601028442383,-0.1544170379638672,-0.1981048583984375,-0.16850662231445312,-0.07190132141113281,-0.1373605728149414,-0.22527408599853516,-0.17823028564453125,-0.14464950561523438,-0.11952877044677734,-0.06468725204467773,-0.03398418426513672
5,-2.519939422607422,-0.5955314636230469,296.70579528808594,299.0675506591797,0.0005010664463043213,0.09298396110534668,0.1684401035308838,0.09962654113769531,6.904592737555504e-07,2.8086360543966293e-06,1386.5390625,1.605224609375,0.0021001845598220825,-9.511038661003113e-05,-360.421875,766.0859375,443254.75,2674775680.0,2823030144.0,2648012.25,2674720128.0,2823472256.0,-0.6349868774414062,341.673828125,8.308423837646842,-5.404336843639612e-05,-22.3074951171875,0.0,-133.68310546875,-42.487213134765625,-23.11199951171875,0.0,-176.66815185546875,0.0,-0.00017634406685829163,-481263.5,-83202.5,0.09295856952667236,59.282310485839844,1005.962294921875,0.00013946229591965675,0.000100722536444664,0.0001391859259456396,0.00012106401845812798,0.00026023387908935547,301.87840270996094,-2.521787246223539e-05,8.788832928985357e-06,-1.2855743989348412e-05,-7.690454367548227e-06,1.3774842955172062e-05,-1.1552474461495876e-06,-3.576104063540697e-05,-3.096240106970072e-05,-2.400722587481141e-05,-2.1246960386633873e-06,2.537854015827179e-05,3.1766947358846664e-05,3.1814794056117535e-05,4.793819971382618e-05,5.5480049923062325e-05,5.86389796808362e-05,6.0868565924465656e-05,6.100023165345192e-05,5.838426295667887e-05,5.473580677062273e-05,5.124090239405632e-05,0.03694096952676773,0.32817065715789795,0.9329255095217377,7.999555587768555,49.8656120300293,68.72567589581013,99.56951904296875,101.99629211425781,83.92938995361328,65.5472205132246,69.78729435801506,83.55440521240234,92.75371551513672,84.0833511352539,86.23809814453125,88.32738494873047,90.16619110107422,91.90988159179688,94.01750946044922,93.95880126953125,86.50096893310547,301491.6171875,256535.634765625,231166.552734375,200531.150390625,181393.580078125,161778.79296875,139018.5458984375,121595.09765625,107147.6357421875,94725.12109375,74020.5732421875,57107.5751953125,42827.0673828125,30433.525390625,19429.3701171875,14355.958984375,9529.3076171875,7200.396484375,4924.126953125,2697.8134765625,514.669921875,-0.003447648137807846,-0.00152578204870224,-0.007631644606590271,0.004890769720077515,-0.016584455966949463,0.025030553340911865,0.0003962516784667969,-0.16172218322753906,-0.179595947265625,-0.11608123779296875,-0.022088050842285156,-0.0938100814819336,-0.14640426635742188,-0.11446666717529297,-0.08555793762207031,-0.07744884490966797,-0.045911312103271484,-0.025218963623046875
6,-1.8595046997070312,-0.8161888122558594,296.72428131103516,299.13914489746094,0.0005987845361232758,0.10061478614807129,0.1772383451461792,0.1353926658630371,6.926711648702621e-08,5.598412826657295e-07,1335.9609375,2.516845703125,-0.00041465461254119873,-0.00015946757048368454,-1076.28125,-123.59765625,441112.6875,2675550720.0,2822079360.0,2648969.375,2675499136.0,2822521088.0,-0.6954994201660156,343.02978515625,8.35822678823024,-5.776426405645907e-05,-23.10455322265625,0.0,-136.9833984375,-42.2216796875,-22.03009033203125,0.3555908203125,-175.80532836914062,0.1810302734375,-0.0001932010054588318,-493134.5,-79307.25,0.09038424491882324,58.59341049194336,1006.61541015625,0.0001902240328490734,8.634757250547409e-05,0.000166324432939291,9.375903755426407e-05,0.0002600927837193012,301.8416404724121,-1.7155922250822186e-05,9.616254828870296e-06,-1.5558209270238876e-05,-5.499881808646023e-06,5.7962024584412575e-06,1.2764940038323402e-06,-2.8211565222591162e-05,-3.0537485145032406e-05,-2.0279374439269304e-05,-5.129724740982056e-06,1.3313954696059227e-05,2.632918767631054e-05,4.450976848602295e-05,6.108032539486885e-05,6.895302794873714e-05,6.987608503550291e-05,6.90375454723835e-05,6.805930752307177e-05,6.534752901643515e-05,6.032688543200493e-05,5.603325553238392e-05,0.051402393539319746,0.30962258676299825,1.0933841466903687,7.607477821409702,53.79912567138672,73.68803994357586,88.64234161376953,100.63919830322266,88.7415919303894,67.9767479300499,72.03872829675674,87.80426788330078,94.85176086425781,81.7025146484375,84.42729949951172,88.2096176147461,90.0613784790039,91.55278015136719,93.59776306152344,93.46461486816406,85.87181091308594,301328.453125,256494.8984375,231158.2421875,200594.8271484375,181328.46484375,161844.7158203125,139072.6611328125,121628.9873046875,107173.1171875,94745.2958984375,74029.0048828125,57109.8203125,42839.27734375,30463.09375,19468.287109375,14399.6240234375,9578.1669921875,7251.791015625,4977.9345703125,2753.356201171875,570.8251953125,-0.00470946729183197,0.0015737414360046387,0.0017123967409133911,-0.0057474225759506226,-0.0050773024559021,0.011057615280151367,0.05551314353942871,-0.1133427619934082,-0.1648845672607422,-0.1349620819091797,-0.06626605987548828,-0.14139938354492188,-0.1484842300415039,-0.10085201263427734,-0.06689453125,-0.07523918151855469,-0.03580665588378906,-0.0038971900939941406
7,-2.7364959716796875,-0.5207443237304688,296.81531524658203,299.2428283691406,0.0008338391780853271,0.09527647495269775,0.16270685195922852,0.09227371215820312,1.864391379058361e-07,2.525048330426216e-07,1386.91796875,1.992431640625,-0.0004420280456542969,-0.00016381219029426575,-1159.3984375,-167.9609375,459046.0,2682723840.0,2830190080.0,2655994.5,2682660736.0,2830650624.0,-1.2326087951660156,377.52490234375,9.260618215426803,-5.9978163335472345e-05,-22.12335205078125,74.65264892578125,-147.6441650390625,-40.037750244140625,-23.825439453125,744.7642822265625,-160.48980712890625,408.850341796875,-0.00034239795058965683,-531523.0,-85770.25,0.09699463844299316,58.96797561645508,1008.551923828125,0.0002664807252585888,9.228289127349854e-05,0.00023161852732300758,0.00010382616892457008,0.00033544376492500305,301.8303985595703,-1.2533360859379172e-05,1.8028149497695267e-05,-1.819990575313568e-05,-5.8269069995731115e-06,-3.839435521513224e-06,7.0676906034350395e-06,-2.365064574405551e-05,-2.1372223272919655e-05,-1.3055570889264345e-05,-2.121785655617714e-06,1.883832737803459e-05,3.106833901256323e-05,4.297879058867693e-05,6.180081982165575e-05,6.827444303780794e-05,6.81083183735609e-05,6.724032573401928e-05,6.639212369918823e-05,6.487849168479443e-05,6.049498915672302e-05,5.6105898693203926e-05,0.05454260481928941,0.32789500954095274,0.8834219768177718,8.421256184577942,47.95730972290039,67.44920349121094,82.99784857034683,99.67570495605469,93.3269271850586,70.10480499267578,68.44109344482422,88.24982452392578,93.87966918945312,81.044189453125,84.07665252685547,88.578369140625,90.07974243164062,91.03788757324219,92.35576629638672,92.95573425292969,85.6636734008789,301674.783203125,257078.837890625,231528.322265625,200874.5537109375,181521.783203125,162089.654296875,139264.6279296875,121825.79296875,107373.544921875,94945.1884765625,74217.5703125,57293.1884765625,43023.98046875,30642.3955078125,19643.9267578125,14574.09130859375,9750.9326171875,7423.21923828125,5147.587890625,2921.431640625,737.818359375,0.0005213543772697449,-0.002901040017604828,0.009095191955566406,-0.007853597402572632,0.011567771434783936,0.019937992095947266,0.03281855583190918,-0.15474224090576172,-0.1731405258178711,-0.12106132507324219,-0.0824270248413086,-0.15343093872070312,-0.14688777923583984,-0.09321117401123047,-0.05898571014404297,-0.06557273864746094,-0.03351402282714844,-0.0055904388427734375
8,-2.200164794921875,-1.5345001220703125,296.72320556640625,299.1052017211914,0.0008026799187064171,0.09247589111328125,0.1806783676147461,0.10785293579101562,1.051172148436308e-06,1.3207318261265755e-06,1722.55078125,0.59326171875,0.00323660671710968,-0.00013142265379428864,-237.05078125,1150.30078125,420642.625,2680362240.0,2828348160.0,2653603.875,2680312064.0,2828767488.0,-1.3550834655761719,317.14599609375,8.843422109261155,-5.6466786190867424e-05,-21.0987548828125,111.0535888671875,-146.5953369140625,-38.487762451171875,-23.58892822265625,1174.330078125,-153.55926513671875,632.126708984375,-0.0003764275461435318,-527742.0,-84921.25,0.16148662567138672,59.17597579956055,1007.3108203125,0.0002007647417485714,0.00013593677431344986,0.00022296537645161152,0.00012627849355340004,0.0003492487594485283,301.8360404968262,-1.9470026018097997e-06,1.0834832210093737e-05,-1.469395647291094e-05,-6.9673696998506784e-06,-6.343994755297899e-06,1.483072992414236e-05,-2.480542752891779e-05,-2.0005914848297834e-05,-1.2014294043183327e-05,-2.1280720829963684e-07,1.8446356989443302e-05,3.422866575419903e-05,4.953262396156788e-05,5.9033860452473164e-05,6.497115828096867e-05,6.431678775697947e-05,6.433052476495504e-05,6.391433998942375e-05,6.343843415379524e-05,6.023375317454338e-05,5.572102963924408e-05,0.057045191526412964,0.3639045357122086,0.7538539171218872,10.148594856262207,39.98146045207977,63.64748156070709,87.22490686178207,98.022705078125,92.77558135986328,71.54418031871319,72.1720199584961,89.00799560546875,92.51941680908203,79.46273040771484,83.60875701904297,88.05023193359375,90.34131622314453,91.49404907226562,93.12547302246094,92.6767578125,85.48220825195312,301663.046875,256988.529296875,231459.88671875,200807.236328125,181494.25,162128.9423828125,139235.0419921875,121786.560546875,107317.10546875,94879.5888671875,74148.2900390625,57229.1005859375,42951.205078125,30552.6708984375,19547.35400390625,14474.3037109375,9648.33984375,7319.47412109375,5042.7509765625,2815.772216796875,631.28125,0.0010335445404052734,-0.00435328483581543,-0.001707330346107483,-0.003064095973968506,0.0022353529930114746,-0.015064716339111328,0.012862205505371094,-0.1652522087097168,-0.16022968292236328,-0.12628555297851562,-0.16002559661865234,-0.17360496520996094,-0.10344314575195312,-0.08001136779785156,-0.0866689682006836,-0.08411455154418945,-0.055486202239990234,-0.03622102737426758
9,-2.5182571411132812,-1.899139404296875,296.7541046142578,299.2655715942383,0.00029736943542957306,0.12126243114471436,0.1346731185913086,0.09739971160888672,9.859795682132244e-07,3.6088749766349792e-09,2103.0703125,0.7237548828125,0.0005773007869720459,-0.00018384121358394623,-1411.65234375,190.50390625,401769.625,2673617408.0,2821636352.0,2646910.875,2673587328.0,2822037504.0,-0.6064796447753906,360.01513671875,8.487345695495605,-5.613686516880989e-05,-21.63885498046875,75.1820068359375,-138.35986328125,-39.344940185546875,-20.707275390625,870.3634033203125,-171.60006713867188,451.854248046875,-0.0001684669405221939,-498099.0,-74548.25,0.08351445198059082,59.18819046020508,1004.877900390625,0.00012208940461277962,0.00010335445404052734,8.260388858616352e-05,0.000113640446215868,0.00019624177366495132,301.8165626525879,5.769339622929692e-06,1.6602862160652876e-06,-1.4369492419064045e-05,-9.405805030837655e-06,-6.139904144220054e-06,1.2275995686650276e-05,-2.4977780412882566e-05,-1.9656610675156116e-05,-7.496564649045467e-06,2.86102294921875e-06,2.1013780497014523e-05,4.7063687816262245e-05,5.557411350309849e-05,5.632336251437664e-05,6.013689562678337e-05,6.093306001275778e-05,6.229965947568417e-05,6.271526217460632e-05,6.0955178923904896e-05,5.77110331505537e-05,5.338038317859173e-05,0.06591938581550494,0.3493618965148926,0.8522526796441525,10.017755508422852,36.0516242980957,73.66250701248646,86.8386001586914,99.22187805175781,92.01174120604992,77.29142643511295,71.76598955690861,88.42109680175781,91.67948150634766,79.48789978027344,84.1715087890625,87.5251693725586,90.36371612548828,92.00846862792969,93.4024887084961,93.00810241699219,85.62712097167969,301453.5625,256646.400390625,231205.505859375,200569.236328125,181285.0732421875,161994.525390625,139089.8720703125,121632.744140625,107146.5537109375,94703.5087890625,73966.3017578125,57048.55078125,42757.8359375,30353.2177734375,19346.212890625,14271.58154296875,9443.171875,7113.25,4835.6806640625,2607.554931640625,421.865234375,-0.0021151304244995117,0.004639741033315659,-0.0003569871187210083,0.0024089813232421875,0.01076003909111023,-0.030026137828826904,-0.006038665771484375,-0.2137742042541504,-0.2402172088623047,-0.22830486297607422,-0.23128414154052734,-0.14355182647705078,-0.06859397888183594,-0.0710153579711914,-0.0671701431274414,-0.055698394775390625,-0.02617502212524414,-0.007306098937988281
