,Pmin
0,1009.480625
1,1008.388125
2,1006.57875
3,1007.393125
4,1008.8
5,1008.511875
6,1006.8725
7,1007.38375
8,1008.553125
9,1007.443125
10,1006.044375
11,1006.633125
12,1008.184375
13,1008.208125
14,1007.094375
15,1007.49875
16,1008.69
17,1007.980625
18,1006.5175
19,1006.946875
20,1008.520625
21,1008.55625
22,1007.48
23,1007.66875
24,1009.28125
25,1008.469375
26,1006.713125
27,1007.148125
28,1008.580625
29,1007.185625
30,1006.248125
31,1006.070625
32,1005.87875
33,1005.375625
34,1003.874375
35,1002.6325
36,1004.32375
37,1001.214375
38,998.5625
39,1000.85375
40,1007.690625
41,1005.296875
42,1004.146875
43,1002.749375
44,1004.396875
45,1003.985625
46,1003.760625
47,1005.086875
48,1006.5525
