,tot_Prec_Intg
0,1058.775931596756
1,1056.1663657426834
2,1163.2587015628815
3,1410.9975099563599
4,1289.0232354402542
5,966.7845070362091
6,914.8161113262177
7,1591.3423895835876
8,1722.6091772317886
9,1479.1860431432724
10,1213.3671343326569
11,1664.721816778183
12,1260.1129710674286
13,1085.6014490127563
14,1081.4537107944489
15,1601.978838443756
16,1560.811921954155
17,1340.2922451496124
18,1344.451755285263
19,1556.1933815479279
20,1243.487149477005
21,983.363687992096
22,789.1683280467987
23,1111.7782443761826
24,1121.167242527008
25,1176.760494709015
26,1175.1815676689148
27,1274.5629251003265
28,974.0979969501495
29,638.5278701782227
30,674.7933477163315
31,897.6422250270844
32,802.6412129402161
33,640.4352188110352
34,568.5930699110031
35,629.5286118984222
36,613.3744120597839
37,529.8785865306854
38,513.6578530073166
39,592.0010805130005
40,652.4279713630676
41,641.7950987815857
42,600.4664301872253
43,683.409571647644
44,614.544078707695
45,543.0536717176437
46,504.68578934669495
47,907.2143584489822
48,1010.7840597629547
49,1055.8772087097168
50,850.7870137691498
51,753.3138990402222
52,691.627711057663
53,621.3729083538055
54,474.6595025062561
55,479.93429005146027
56,505.189448595047
57,486.7376387119293
58,452.86744832992554
59,366.7866438627243
60,284.9958837032318
61,135.34709811210632
62,104.99231517314911
63,165.60852527618408
64,179.60503697395325
65,128.34705412387848
66,79.12218570709229
67,70.29958069324493
68,60.94716489315033
69,53.770095109939575
70,47.1147894859314
71,81.82331919670105
72,109.58865284919739
73,117.52814054489136
74,107.28448629379272
