,Prec_Intg
0,324.4508244097233
1,312.5249035656452
2,294.9105203151703
3,334.34033393859863
4,320.95471397042274
5,302.8676472604275
6,305.6105598807335
7,451.5715315937996
8,424.28741231560707
9,476.4845222234726
10,422.21805080771446
11,385.82801818847656
12,273.3094058930874
13,209.71592515707016
14,213.91091868281364
15,174.72900450229645
16,202.81046628952026
17,191.77120178937912
18,226.715300232172
19,234.71536114811897
20,207.10406824946404
21,167.46053472161293
22,163.0270481109619
23,284.1813862323761
24,302.37868428230286
25,326.10638067126274
26,341.58123657107353
27,404.313113540411
28,352.622177451849
29,365.92429503798485
30,274.6763452887535
31,270.78744024038315
32,316.80136919021606
33,290.7080948352814
34,273.20142835378647
35,364.3956780433655
36,236.52352392673492
37,158.07759016752243
38,167.26292669773102
39,212.23055198788643
40,243.78756061196327
41,255.69410994648933
42,263.9343775808811
43,356.9190017879009
44,318.6469152569771
45,183.949563652277
46,229.81487214565277
47,229.18831557035446
48,225.10580718517303
49,272.3126858472824
50,335.15390008687973
51,326.1466883122921
52,301.9014745950699
53,329.2781114578247
54,300.7328510284424
55,242.94409900903702
56,214.6625891327858
57,218.69178861379623
