,Pmin
0,1005.26875
1,1002.99
2,1001.8775
3,1003.41625
4,1002.5675
5,999.00125
6,999.753125
7,1000.809375
8,999.89
9,996.98
10,996.83
11,996.720625
12,995.119375
13,995.94
14,997.82375
15,1000.5475
16,999.78
17,996.755
18,998.923125
19,998.6975
20,996.506875
21,992.57125
22,991.265
23,994.06
24,993.46
25,989.74875
26,990.756875
27,992.878125
28,990.674375
29,989.89
30,989.755
31,990.0125
32,992.2725
33,991.1125
34,991.9525
35,993.19625
36,992.48
37,990.765625
38,991.238125
39,993.26
40,992.934375
41,990.09
42,992.506875
43,993.8475
44,994.06125
45,993.01125
46,992.021875
47,993.445
48,993.885625
49,992.371875
50,993.513125
51,993.43625
52,994.555
