,Pmin
0,1007.1525
1,1007.986875
2,1009.0625
3,1007.49
4,1006.3675
5,1007.518125
6,1007.83875
7,1006.879375
8,1004.929375
9,1005.13
10,1006.735
11,1004.786875
12,1002.296875
13,1003.08375
14,1003.26625
15,1002.588125
16,999.94875
17,999.335625
18,998.133125
19,995.415625
20,992.636875
21,991.79875
22,992.56375
23,991.36
24,989.97875
25,990.115
26,989.295
27,987.82875
28,985.101875
29,985.755625
30,988.8575
31,992.005
32,989.00125
33,987.420625
34,988.366875
35,988.45
36,985.456875
37,985.473125
38,985.28375
39,985.15
40,984.1975
41,984.288125
42,988.17
43,990.105
44,990.0425
45,990.366875
46,993.204375
47,995.906875
48,996.17
49,997.5925
50,1000.984375
51,1002.169375
52,1000.335
53,999.91625
54,1002.90875
55,1004.33
56,1003.844375
57,1004.44
58,1007.749375
59,1008.908125
60,1007.91125
61,1007.506875
62,1009.241875
63,1010.64125
64,1009.8575
