,Prec_max
0,8.596372604370117
1,4.828405380249023
2,11.176872253417969
3,6.621408462524414
4,4.255914688110352
5,6.324005126953125
6,6.7394256591796875
7,6.857013702392578
8,9.186887741088867
9,10.936546325683594
10,10.056352615356445
11,22.587203979492188
12,9.967517852783203
13,7.44023323059082
14,8.878755569458008
15,8.905363082885742
16,6.9934844970703125
17,6.996917724609375
18,15.041828155517578
19,16.164493560791016
20,21.48599624633789
21,18.360042572021484
22,11.530923843383789
23,26.799774169921875
24,19.54364776611328
25,11.842060089111328
26,19.76165771484375
27,10.479497909545898
28,14.450454711914062
29,12.207269668579102
30,5.411624908447266
31,8.143186569213867
32,9.36884880065918
33,10.546875
34,15.49673080444336
35,23.70772361755371
36,25.823020935058594
37,24.728679656982422
38,26.54399871826172
39,12.148904800415039
40,9.368634223937988
41,12.021017074584961
42,22.114276885986328
43,20.84527015686035
44,16.205263137817383
45,17.86050796508789
46,25.323057174682617
47,22.95241355895996
48,16.815519332885742
49,11.3433837890625
50,8.342313766479492
51,17.62533187866211
52,23.9501953125
53,26.78518295288086
54,22.77817726135254
55,17.603015899658203
56,18.18537712097168
57,13.695144653320312
58,18.25404167175293
59,24.814939498901367
60,19.409751892089844
61,18.0999755859375
62,13.554811477661133
63,13.709306716918945
64,10.74213981628418
65,9.920310974121094
66,17.258405685424805
67,14.648723602294922
68,6.771183013916016
