,tot_Prec_Intg
0,754.4036209583282
1,821.3916420936584
2,1102.573648095131
3,973.0729460716248
4,1119.6904629468918
5,1255.3844600915909
6,1391.1032676696777
7,1442.0243352651596
8,1282.9312682151794
9,1402.992457151413
10,1348.6941158771515
11,1300.3645837306976
12,1012.3997926712036
13,936.4233165979385
14,1163.8562381267548
15,1509.5087140798569
16,1456.652581691742
17,1562.182679772377
18,1408.3606004714966
19,1530.558168888092
20,1146.2554335594177
21,978.9129346609116
22,1005.1396489143372
23,1369.7345554828644
24,1410.9155535697937
25,1289.2085313796997
26,1270.986646413803
27,1404.8999547958374
28,1093.8508808612823
29,969.7626531124115
30,1017.9378837347031
31,939.4748508930206
32,823.2109993696213
33,896.2450921535492
34,1009.4553977251053
35,1084.2647403478622
36,938.3122622966766
37,956.87635242939
38,965.6128287315369
39,1131.25778734684
40,1109.0225726366043
41,1124.4731396436691
42,1089.889034628868
43,1124.8252540826797
44,1059.9453747272491
45,1129.0032416582108
46,1165.2711033821106
47,981.9510579109192
48,944.8879957199097
49,970.5331176519394
50,1120.6862330436707
51,959.4230353832245
52,1001.3070702552795
53,1075.875461101532
54,1193.4059858322144
55,1021.4833170175552
56,1094.2398756742477
57,1158.856600522995
58,1033.5587710142136
59,893.3240175247192
60,873.6484497785568
61,954.335629940033
62,914.9978309869766
63,884.8007023334503
64,935.9623491764069
65,922.7017313241959
66,841.93155169487
67,981.0276329517365
68,1037.5621169805527
69,1054.97345328331
70,1091.2469774484634
71,872.8515356779099
72,898.2894569635391
73,1036.0799729824066
74,1057.0694506168365
75,823.7048983573914
76,810.8337223529816
77,892.2480046749115
78,1139.5981907844543
79,1376.9402354955673
80,1273.4008580446243
81,1052.403748035431
82,1096.377968788147
83,1177.2672832012177
84,1017.8616642951965
85,809.7606152296066
