,Prec_Intg
0,39.10409286618233
1,61.88070401549339
2,93.78274902701378
3,128.35487723350525
4,128.45903635025024
5,202.63617858290672
6,227.0866371691227
7,226.79539397358894
8,255.9465728700161
9,225.09180009365082
10,214.17321637272835
11,290.2947925031185
12,244.2346327006817
13,156.21500089764595
14,163.89766708016396
15,200.71137696504593
16,247.4973164498806
17,246.77935987710953
18,253.1197853386402
19,184.5686137676239
20,135.23150235414505
21,130.9189572930336
22,142.729002982378
23,216.13869816064835
24,340.8108279109001
25,346.87040373682976
26,313.6684000492096
27,292.19647869467735
28,222.89011627435684
29,157.77509659528732
30,185.57095900177956
31,267.2811970114708
32,338.5581262409687
33,288.3497439324856
34,288.6674553155899
35,294.09533366560936
36,273.05254712700844
37,253.68651375174522
38,263.5057456791401
39,296.64095491170883
40,276.1119604110718
41,218.64283829927444
42,206.1011642217636
43,251.7496421933174
44,224.11590442061424
45,205.57651296257973
46,220.8663709461689
47,202.1830528974533
48,229.29152473807335
49,199.14966076612473
50,177.75075510144234
51,216.49114787578583
52,167.6887460052967
53,143.79523694515228
54,139.924306422472
