,tot_Prec_max
0,4.729270935058594
1,4.70733642578125
2,4.235267639160156
3,7.150173187255859
4,10.585784912109375
5,8.758544921875
6,6.379604339599609
7,13.816356658935547
8,7.849693298339844
9,9.258747100830078
10,8.735179901123047
11,10.995864868164062
12,9.243488311767578
13,15.49530029296875
14,8.993148803710938
15,12.267589569091797
16,9.638786315917969
17,9.036064147949219
18,9.776115417480469
19,13.178825378417969
20,14.066219329833984
21,17.983436584472656
22,20.915508270263672
23,28.03802490234375
24,19.75536346435547
25,22.28069305419922
26,17.835617065429688
27,15.282630920410156
28,16.119956970214844
29,17.98248291015625
30,15.737533569335938
31,21.25692367553711
32,17.98105239868164
33,18.686294555664062
34,14.932632446289062
35,18.342018127441406
36,16.107559204101562
37,16.48092269897461
38,18.549442291259766
39,23.403167724609375
40,22.098064422607422
41,27.379989624023438
42,27.87160873413086
43,22.89295196533203
44,26.464462280273438
45,26.15642547607422
46,33.37574005126953
47,29.992103576660156
48,18.743515014648438
49,17.614364624023438
50,19.591331481933594
51,23.771286010742188
52,28.162479400634766
