,Pmin
0,1008.354375
1,1006.899375
2,1008.1375
3,1009.24625
4,1007.10125
5,1004.865625
6,1006.611875
7,1008.17
8,1007.1375
9,1006.04625
10,1006.92625
11,1007.583125
12,1005.979375
13,1004.34625
14,1006.62875
15,1007.989375
16,1006.5375
17,1005.01125
18,1007.250625
19,1008.084375
20,1006.265625
21,1004.5925
22,1006.22875
23,1006.93125
24,1005.104375
25,1003.45125
26,1004.37125
27,1005.22125
28,1002.814375
29,1000.84375
30,1002.266875
31,1003.608125
32,1003.09
33,1002.186875
34,1001.86
35,1002.3825
36,1000.330625
37,998.859375
38,1001.120625
39,1001.506875
40,1000.639375
41,998.854375
42,999.7875
43,1001.3925
44,999.6975
45,997.45625
46,996.6025
47,998.8025
48,998.971875
49,997.700625
50,998.68625
51,1000.353125
52,997.533125
53,994.705625
54,997.311875
55,999.506875
56,998.606875
57,997.23625
58,1000.783125
59,1002.98125
60,1002.478125
61,1000.75
62,1000.784375
63,1004.101875
64,1004.356875
65,1003.528125
66,1004.1175
67,1006.63125
68,1006.995
