,Prec_Intg
0,169.42685469985008
1,222.2250960767269
2,218.91385316848755
3,181.5699227154255
4,133.07185843586922
5,97.07877412438393
6,85.19243448972702
7,117.6844909787178
8,145.94117179512978
9,177.41823568940163
10,154.58030626177788
11,213.02543580532074
12,149.69512820243835
13,153.85903418064117
14,149.9778963625431
15,149.67650175094604
16,163.74673694372177
17,171.5719886124134
18,153.5455323755741
19,156.38066455721855
20,121.54754251241684
21,131.61003589630127
22,123.52030724287033
23,182.54732713103294
24,192.5129070878029
25,183.77073109149933
26,183.78181383013725
27,175.37053674459457
28,172.7844588458538
29,167.76910051703453
30,178.85617911815643
31,216.181892901659
32,271.3807485997677
33,306.1472997069359
34,323.7118571996689
35,360.40615290403366
36,368.93295124173164
37,386.6814076900482
38,394.0272517502308
39,324.3550658226013
40,230.32136261463165
41,232.13736712932587
42,301.6108088195324
43,348.91655668616295
44,300.0381216406822
45,294.12683099508286
46,300.0080771744251
47,360.328983515501
48,287.8652699291706
49,289.79117050766945
50,312.1992200613022
51,286.89224272966385
52,306.85591511428356
53,302.1625801920891
54,309.67067927122116
55,281.84350579977036
56,265.33251628279686
57,286.50887310504913
58,283.78037735819817
59,274.9376744031906
60,257.73800909519196
61,223.63869473338127
62,187.907163053751
63,162.49528154730797
64,159.15147960186005
65,179.85539510846138
66,204.10440862178802
67,182.10696056485176
68,159.41880643367767
69,141.31253585219383
70,154.82643619179726
71,115.07231742143631
72,100.3882847726345
