,Prec_Intg
0,174.37992617487907
1,126.22267007827759
2,130.19980862736702
3,126.61080807447433
4,91.43726900219917
5,96.29843756556511
6,125.74126943945885
7,155.72383999824524
8,186.5738444030285
9,241.78456515073776
10,186.16320565342903
11,174.39762130379677
12,142.44895428419113
13,223.00632670521736
14,186.3890327513218
15,167.2934554517269
16,148.93118292093277
17,151.35293826460838
18,241.67096242308617
19,242.29200556874275
20,256.7023038864136
21,232.19972848892212
22,191.5503665804863
23,206.22840151190758
24,257.1351081132889
25,245.72733789682388
26,244.1687323153019
27,268.00116524100304
28,287.49294579029083
29,180.900227278471
30,130.29580935835838
31,176.4492690563202
32,198.14996048808098
33,263.4057402610779
34,273.45627546310425
35,274.1912752389908
36,250.46175345778465
37,262.91489601135254
38,182.82320350408554
39,182.49697983264923
40,212.2090756893158
41,226.5910804271698
42,187.34503537416458
43,167.77394339442253
44,197.3292976617813
45,229.3573133647442
46,186.6961270570755
47,165.35889357328415
48,181.16692081093788
49,205.31650632619858
50,232.53761231899261
51,267.2895975410938
52,285.51001101732254
53,224.59475323557854
54,161.89582645893097
55,180.7909458875656
56,210.75185388326645
57,212.7566561102867
58,250.16887113451958
59,243.24966594576836
60,207.20282569527626
