,Prec_Intg
0,265.44036343693733
1,273.40397238731384
2,311.6540238261223
3,295.6211380660534
4,301.54891312122345
5,269.02785524725914
6,218.47734227776527
7,194.9184387922287
8,236.81623861193657
9,196.4304782450199
10,213.10048177838326
11,231.36325180530548
12,263.8773247599602
13,355.1611304283142
14,316.9998526573181
15,340.4173441231251
16,316.3645789027214
17,257.99065828323364
18,209.6717804670334
19,179.74535003304482
20,232.143085449934
21,226.40306502580643
22,181.8685419857502
23,180.80754205584526
24,215.16289561986923
25,299.861915409565
26,280.1657095551491
27,288.7328714132309
28,334.40863713622093
29,270.9093689918518
30,220.89581936597824
31,227.41425782442093
32,246.9133958220482
33,278.1803160905838
34,263.9992907643318
35,263.263825327158
36,233.5922047495842
37,240.87700992822647
38,208.7094448506832
39,228.80878299474716
40,202.07418128848076
41,244.3729154765606
42,243.8097447156906
43,197.2811296582222
44,194.85756754875183
45,182.74441361427307
46,135.0909285247326
47,115.09532108902931
48,151.0043628513813
49,181.82242289185524
50,201.06326788663864
51,154.29480001330376
52,135.46045869588852
53,142.15277507901192
54,118.50131675601006
55,90.48905223608017
56,97.78611361980438
57,163.5563187301159
58,116.39516800642014
59,86.22335270047188
60,81.30235597491264
61,77.33376696705818
62,75.36428049206734
63,82.3201984167099
64,89.22912180423737
65,56.52967840433121
66,55.46789616346359
67,40.50802439451218
68,39.87981006503105
