,Pmin
0,1002.649375
1,1000.189375
2,999.723125
3,1001.4025
4,1002.04875
5,1000.045
6,999.59125
7,1001.04625
8,1002.24875
9,1000.2275
10,999.67625
11,1000.859375
12,1001.103125
13,999.6475
14,999.2725
15,999.6075
16,1000.52875
17,998.62875
18,997.63875
19,999.218125
20,1000.215
21,998.6425
22,998.2825
23,999.2025
24,999.311875
25,997.1075
26,996.653125
27,997.944375
28,999.49125
29,998.19
30,998.765625
31,1000.631875
32,1001.655625
33,1000.073125
34,999.591875
35,1001.300625
36,1002.625625
37,1001.278125
38,1000.6375
39,1002.00375
40,1003.118125
41,1001.233125
42,1000.633125
43,1001.85625
44,1002.88125
45,1001.74375
46,1001.31375
47,1003.1175
48,1004.253125
49,1002.975625
50,1002.463125
51,1003.694375
52,1004.330625
53,1003.189375
54,1003.248125
55,1004.843125
56,1005.925625
57,1003.865625
58,1003.413125
