,tot_Prec_max,tot_Prec_Intg
0,10.540962219238281,1083.3635926246643
1,14.006614685058594,1004.3072700500488
2,7.018089294433594,835.0951969623566
3,6.8531036376953125,759.4116032123566
4,9.137153625488281,792.9860800504684
5,10.765552520751953,969.296544790268
6,16.00170135498047,1066.2340372800827
7,10.816574096679688,1086.609661579132
8,11.690139770507812,1207.0932984352112
9,11.857986450195312,1130.3336918354034
10,9.244918823242188,1114.5247519016266
11,11.439323425292969,1094.6698486804962
12,13.269424438476562,1258.7759643793106
13,26.46923065185547,1278.7361443042755
14,19.913673400878906,1338.1744176149368
15,15.097618103027344,1407.378911972046
16,13.236045837402344,1508.3225071430206
17,19.042015075683594,1307.4061274528503
18,20.622730255126953,1200.346127152443
19,25.928497314453125,1183.699369430542
20,18.836021423339844,1257.6305866241455
21,10.183334350585938,1171.4665591716766
22,11.377334594726562,1258.4113329648972
23,10.670185089111328,1247.759833931923
24,11.014938354492188,1407.676711678505
25,21.09813690185547,1188.1691217422485
26,36.25774383544922,1015.419214963913
27,29.304981231689453,921.7263758182526
28,13.009071350097656,856.5080165863037
29,10.647296905517578,742.9830729961395
30,15.034198760986328,632.2793662548065
31,12.625694274902344,551.5275150537491
32,11.315345764160156,791.4992421865463
33,7.923603057861328,436.6517812013626
34,7.626056671142578,237.73089051246643
35,4.454612731933594,176.75742506980896
36,6.044864654541016,162.62590885162354
37,10.042190551757812,252.0710974931717
38,15.584468841552734,355.71545362472534
39,12.944221496582031,319.96242702007294
40,8.669853210449219,355.2502393722534
41,8.311748504638672,267.9448574781418
42,5.164623260498047,310.4003518819809
43,5.604743957519531,490.9181594848633
44,7.5435638427734375,721.043273806572
45,15.255451202392578,969.6342796087265
46,17.684459686279297,1028.4686088562012
47,17.573833465576172,930.4100275039673
48,18.859386444091797,850.7255464792252
49,18.025875091552734,614.5986914634705
50,13.156414031982422,573.1054395437241
51,10.572433471679688,689.3709301948547
52,20.198822021484375,784.2034101486206
53,15.146255493164062,629.12218272686
54,15.697956085205078,563.7459456920624
55,13.87786865234375,533.2334339618683
56,12.568473815917969,448.67701828479767
57,4.153251647949219,342.6527976989746
58,4.287242889404297,251.40643119812012
59,7.114887237548828,210.09430289268494
60,3.314495086669922,195.72041928768158
61,3.6673545837402344,170.50541937351227
62,2.6216506958007812,102.15394198894501
63,1.4777183532714844,53.282007575035095
64,1.4848709106445312,28.146952390670776
