,w10max
0,11.449474334716797
1,12.40084171295166
2,9.728137016296387
3,10.946700096130371
4,11.071024894714355
5,12.378315925598145
6,13.603141784667969
7,13.686327934265137
8,13.604196548461914
9,13.890775680541992
10,14.423287391662598
11,13.533357620239258
12,12.658516883850098
13,12.958928108215332
14,13.614598274230957
15,14.803857803344727
16,15.01862621307373
17,18.65695571899414
18,19.504070281982422
19,18.276845932006836
20,17.943511962890625
21,17.728029251098633
22,18.801204681396484
23,19.1039981842041
24,21.10995101928711
25,21.763586044311523
26,20.839405059814453
27,21.32330322265625
28,20.603605270385742
29,19.42511749267578
30,19.594871520996094
31,19.529613494873047
32,18.751110076904297
33,18.10647964477539
34,14.13899040222168
35,14.697498321533203
36,14.106266021728516
37,14.276579856872559
38,13.056817054748535
39,11.995956420898438
40,10.555874824523926
41,10.438586235046387
42,11.25365161895752
