,Pmin
0,1006.730625
1,1005.05
2,1005.7975
3,1007.70375
4,1007.2725
5,1005.18375
6,1005.774375
7,1007.815625
8,1006.484375
9,1004.045
10,1004.715
11,1006.593125
12,1006.049375
13,1004.51625
14,1005.298125
15,1007.02375
16,1004.94375
17,1002.41875
18,1003.43625
19,1004.73125
20,1004.17875
21,1002.14
22,1002.53625
23,1004.18375
24,1002.944375
25,1000.96375
26,1001.55875
27,1002.244375
28,1001.480625
29,999.725
30,999.9175
31,1002.419375
32,1001.4775
33,999.340625
34,1000.2775
35,1002.71375
36,1002.086875
37,999.87375
38,999.85875
39,1002.148125
40,1000.6025
41,998.00875
42,998.593125
43,1000.325
44,1000.425
45,997.960625
46,999.09125
