,Pmin
0,1006.09375
1,1003.96
2,1004.956875
3,1006.76
4,1005.899375
5,1003.716875
6,1004.768125
7,1006.413125
8,1005.671875
9,1002.825
10,1004.2275
11,1005.07125
12,1004.389375
13,1002.975625
14,1002.641875
15,1005.3775
16,1004.561875
17,1002.049375
18,1001.428125
19,1002.95375
20,1002.74375
21,1001.6025
22,1002.501875
23,1005.9025
24,1006.043125
25,1004.54125
26,1005.281875
27,1008.340625
28,1008.50125
29,1007.723125
30,1008.52375
31,1010.694375
32,1009.878125
33,1007.56625
34,1007.93625
35,1010.62875
36,1011.06
37,1009.689375
38,1010.541875
39,1012.43125
40,1011.468125
41,1009.11
42,1008.91
43,1011.76625
44,1011.2175
45,1009.833125
46,1010.111875
47,1012.2325
48,1011.408125
49,1008.9925
50,1008.736875
