,tot_Prec_max
0,7.494926452636719
1,13.3514404296875
2,13.237476348876953
3,13.134956359863281
4,16.847610473632812
5,18.362045288085938
6,20.344257354736328
7,22.365093231201172
8,13.25225830078125
9,21.016597747802734
10,21.654129028320312
11,15.042304992675781
12,17.038345336914062
13,17.202377319335938
14,22.74799346923828
15,23.813724517822266
16,22.722244262695312
17,24.082660675048828
18,18.15938949584961
19,13.523578643798828
20,14.333724975585938
21,8.094310760498047
22,7.0705413818359375
23,6.561279296875
24,5.995750427246094
25,17.41170883178711
26,13.604164123535156
27,12.13693618774414
28,8.059978485107422
29,7.826328277587891
30,8.365631103515625
31,7.030487060546875
32,9.226799011230469
33,16.130447387695312
34,14.510631561279297
35,7.714271545410156
36,6.014823913574219
37,9.190082550048828
38,10.21575927734375
39,8.496761322021484
40,7.110118865966797
41,20.69711685180664
42,8.839130401611328
43,7.287502288818359
44,14.994621276855469
45,17.40741729736328
46,10.517120361328125
47,16.458988189697266
48,13.279438018798828
49,14.611244201660156
50,22.59540557861328
51,18.959522247314453
52,11.791706085205078
53,20.311832427978516
54,13.882160186767578
55,18.568038940429688
