,Pmin
0,1002.3625
1,1000.455
2,999.225625
3,999.971875
4,999.949375
5,997.61625
6,997.296875
7,997.336875
8,996.299375
9,994.57125
10,996.4775
11,996.591875
12,995.928125
13,993.6125
14,994.099375
15,993.640625
16,992.870625
17,990.648125
18,989.2375
19,988.784375
20,987.215625
21,983.769375
22,983.89875
23,984.70375
24,983.92125
25,982.31
26,983.68375
27,982.210625
28,981.284375
29,979.0175
30,982.27125
31,983.645
32,985.675
33,986.62
34,990.663125
35,991.616875
36,990.81875
37,990.5375
38,991.67375
39,993.561875
40,994.11125
41,994.44
42,993.921875
43,995.07875
44,996.34
45,996.29
46,996.11125
47,997.581875
48,998.2025
49,995.713125
50,994.163125
