,Prec_Intg
0,373.8539293408394
1,340.49278125166893
2,373.76075983047485
3,459.97584238648415
4,452.48469337821007
5,454.0352150797844
6,422.8602349758148
7,405.74075654149055
8,364.808551967144
9,267.15733110904694
10,225.04841908812523
11,262.1493488550186
12,306.07273802161217
13,339.9898111820221
14,399.886853992939
15,470.7966558635235
16,472.789965569973
17,460.64818277955055
18,455.6423984467983
19,445.7882046699524
20,468.53164210915565
21,526.537261903286
22,545.7553081214428
23,601.2582592666149
24,595.1656587421894
25,586.130041629076
26,542.38710552454
27,547.8091165423393
28,528.163630515337
29,514.6089382469654
30,484.30703580379486
31,501.70574337244034
32,416.0581808537245
33,349.3759036064148
34,324.33314248919487
35,314.9454668164253
36,277.6974253356457
37,277.5948867201805
38,245.34067139029503
39,262.2875012457371
40,262.85646483302116
41,222.31552749872208
42,221.50982171297073
43,224.00863468647003
44,223.53455424308777
45,229.56881672143936
46,215.06482735276222
47,217.77039393782616
48,206.01090043783188
49,201.43097266554832
50,186.80008128285408
51,219.83327344059944
52,171.82674258947372
53,176.05114728212357
54,198.71795549988747
55,243.8647858798504
56,236.14469915628433
57,174.70883205533028
58,133.15143063664436
59,126.236192882061
60,104.56684976816177
61,84.82858538627625
62,73.678158223629
63,88.63527327775955
64,91.9903814792633
65,87.69607171416283
66,72.88014516234398
