,Pmin
0,1005.629375
1,1007.04375
2,1007.33125
3,1004.895
4,1003.534375
5,1004.368125
6,1005.355625
7,1002.69875
8,1001.360625
9,1002.453125
10,1002.89125
11,1001.035625
12,1000.248125
13,1001.955
14,1002.29375
15,999.0175
16,997.53125
17,998.918125
18,999.26375
19,997.56
20,996.5625
21,998.50375
22,999.545625
23,996.423125
24,994.669375
25,995.443125
26,995.96875
27,993.95125
28,992.78375
29,993.71875
30,994.83625
31,991.819375
32,992.458125
33,993.739375
34,994.375
35,992.395
36,992.124375
37,992.954375
38,994.33875
39,992.390625
40,991.285
41,992.583125
42,993.253125
43,992.4125
44,994.83
45,996.84125
46,996.56
47,992.0175
48,993.86375
49,994.44375
50,995.28375
51,995.774375
52,997.326875
53,997.07
54,995.43625
55,992.791875
56,996.845
57,998.7175
58,999.60125
59,998.91125
60,1000.7275
61,1003.143125
62,1004.7775
63,1003.0925
64,1004.095
65,1006.015625
66,1007.201875
67,1006.7
68,1007.1775
69,1008.6875
70,1010.134375
71,1008.26875
72,1007.915625
