,Pmin
0,1004.131875
1,1005.258125
2,1006.024375
3,1004.905625
4,1002.985625
5,1003.66875
6,1004.8175
7,1004.443125
8,1002.865625
9,1003.3475
10,1005.229375
11,1003.80125
12,1002.14125
13,1002.86875
14,1004.465625
15,1004.0325
16,1001.864375
17,1001.819375
18,1004.06875
19,1002.93375
20,1001.341875
21,1002.47
22,1003.559375
23,1003.92125
24,1003.2375
25,1003.35125
26,1005.774375
27,1004.90375
28,1003.300625
29,1004.451875
30,1005.574375
31,1006.43125
32,1004.761875
33,1005.305
34,1006.118125
35,1005.593125
36,1003.55625
37,1003.29625
38,1006.65875
39,1006.75875
40,1005.06375
41,1004.48125
42,1004.971875
43,1004.49
44,1002.743125
45,1003.77875
46,1006.983125
47,1006.958125
48,1005.388125
49,1005.794375
50,1006.631875
51,1006.04
52,1004.06
53,1005.043125
54,1006.901875
55,1006.62375
56,1004.88875
57,1005.331875
58,1005.97125
59,1004.9825
60,1003.37625
61,1004.27375
62,1005.2425
63,1004.958125
64,1002.8475
65,1002.524375
66,1001.95125
67,1000.5175
68,997.390625
69,997.005
70,998.51625
71,997.290625
72,995.30875
73,995.93375
74,997.685
75,998.408125
76,996.344375
77,998.170625
78,1005.984375
79,1006.774375
80,1006.5275
81,1006.5075
82,1008.26625
83,1007.304375
84,1005.105
85,1005.055
86,1006.159375
87,1005.690625
88,1004.9725
89,1006.04375
90,1007.71
91,1008.700625
92,1006.99
93,1006.64875
94,1008.855625
95,1009.498125
96,1008.124375
97,1007.940625
98,1009.875
99,1010.913125
100,1007.689375
101,1006.2325
102,1007.6175
