,Prec_max
0,11.44251823425293
1,7.115364074707031
2,4.663181304931641
3,4.57005500793457
4,5.48243522644043
5,8.556461334228516
6,12.105560302734375
7,14.385223388671875
8,18.369483947753906
9,26.795482635498047
10,10.317277908325195
11,8.81953239440918
12,9.287309646606445
13,9.257268905639648
14,12.459182739257812
15,15.744352340698242
16,11.355400085449219
17,16.21556282043457
18,7.543230056762695
19,9.533214569091797
20,14.985179901123047
21,27.968788146972656
22,26.83582305908203
23,26.450014114379883
24,26.250028610229492
25,32.5169563293457
26,20.08824348449707
27,11.690998077392578
28,7.750082015991211
29,11.071300506591797
30,9.147405624389648
31,9.904003143310547
32,9.71217155456543
33,19.61359977722168
34,12.25748062133789
35,12.97459602355957
36,7.676267623901367
37,16.153335571289062
38,22.275638580322266
39,19.15140151977539
40,15.161561965942383
41,12.871170043945312
42,9.051275253295898
43,8.075809478759766
44,11.699581146240234
45,10.594940185546875
46,12.495660781860352
47,18.337726593017578
48,19.16341781616211
49,17.145109176635742
50,13.759946823120117
51,15.96837043762207
52,13.71145248413086
53,13.447952270507812
54,15.595865249633789
55,20.277929306030273
56,28.143024444580078
57,23.606014251708984
58,16.053342819213867
59,16.61381721496582
60,13.153982162475586
61,10.167503356933594
62,9.141826629638672
63,12.48321533203125
64,14.800214767456055
65,22.40910530090332
66,20.39809226989746
67,21.349096298217773
68,15.360689163208008
69,11.638212203979492
70,14.09769058227539
71,14.75214958190918
72,22.503948211669922
73,18.915367126464844
74,29.324054718017578
75,42.98872947692871
76,23.96092414855957
77,12.226152420043945
78,4.76832389831543
79,5.49616813659668
80,14.385223388671875
81,19.714021682739258
82,3.4177780151367188
83,4.771757125854492
84,2.5114059448242188
85,3.5147666931152344
86,1.6973018646240234
87,1.6127586364746094
88,2.377939224243164
89,4.459333419799805
90,2.345752716064453
91,2.662038803100586
92,0.6896495819091797
93,0.7733345031738281
94,0.4471778869628906
95,0.4591941833496094
96,1.2814521789550781
97,0.7926464080810547
98,2.9748916625976562
99,0.3600597381591797
100,1.0119438171386719
101,1.2797355651855469
102,1.268148422241211
103,0.5600452423095703
104,0.42443275451660156
105,0.3059864044189453
106,0.6467342376708984
107,0.3149986267089844
108,0.5390167236328125
109,0.8286952972412109
110,0.4802227020263672
