,Pmin
0,1003.204375
1,1005.3225
2,1005.050625
3,1002.915
4,1002.325
5,1004.01125
6,1003.224375
7,1000.8175
8,1000.07125
9,1001.915625
10,1001.92875
11,1000.111875
12,998.6975
13,1000.17875
14,1000.749375
15,997.37625
16,996.361875
17,997.5125
18,998.01625
19,996.41
20,993.52
21,993.551875
22,993.65875
23,990.47875
24,988.661875
25,990.86
26,991.519375
27,990.395625
28,987.693125
29,987.575
30,989.583125
31,987.345
32,985.141875
33,986.10875
34,986.87875
35,986.78125
36,985.24
37,986.51375
38,986.76875
39,985.101875
40,982.1975
41,982.2225
42,982.8325
43,981.66625
44,980.363125
45,980.406875
46,981.05625
47,978.57125
48,976.1625
49,976.180625
50,981.86125
51,983.2225
52,984.605625
53,986.696875
54,991.2975
55,990.831875
56,989.528125
57,991.104375
58,993.878125
59,994.086875
60,993.581875
61,994.995625
62,996.593125
63,998.324375
64,996.9875
65,998.943125
66,1002.12
67,1003.923125
68,1003.714375
69,1004.035
70,1005.898125
71,1005.6625
72,1003.53375
73,1003.469375
74,1004.92625
75,1004.899375
76,1003.0475
77,1002.41125
78,1004.678125
79,1005.065625
80,1002.7525
81,1002.433125
82,1006.09
83,1007.07125
84,1006.270625
85,1005.83125
86,1007.88
87,1009.30375
88,1007.110625
89,1006.524375
90,1007.884375
91,1008.9925
92,1008.355
93,1008.186875
94,1010.191875
95,1011.673125
96,1009.343125
97,1008.131875
98,1010.044375
