,Pmin
0,1008.139375
1,1007.28125
2,1005.983125
3,1006.540625
4,1008.196875
5,1006.43375
6,1004.595625
7,1003.986875
8,1005.723125
9,1003.643125
10,1001.46875
11,1002.015625
12,1003.96125
13,1002.863125
14,1000.921875
15,1000.770625
16,1001.595
17,1000.005
18,997.44875
19,997.430625
20,997.548125
21,996.081875
22,993.724375
23,992.83375
24,992.77
25,990.544375
26,986.865625
27,986.2975
28,986.895
29,986.885625
30,989.26875
31,991.591875
32,993.516875
33,992.23875
34,989.7475
35,988.3775
36,991.380625
37,989.72125
38,989.355
39,988.43875
40,990.016875
41,988.80875
42,986.285
43,986.385625
44,987.9425
45,987.055
46,986.475
47,987.111875
48,988.1425
49,989.285
50,988.38875
51,989.341875
52,991.04625
53,992.98125
54,993.574375
55,996.379375
56,1004.098125
57,1008.580625
58,1008.704375
59,1009.28375
60,1010.5175
61,1012.275
62,1011.96125
63,1011.47125
64,1012.944375
65,1014.429375
66,1011.6475
