,Prec_Intg
0,102.85984724760056
1,170.5770567059517
2,173.1649786233902
3,212.07761019468307
4,209.1498114168644
5,206.58543333411217
6,123.48905205726624
7,68.31426173448563
8,91.15274995565414
9,150.4114456474781
10,160.28288751840591
11,166.28123819828033
12,117.47835204005241
13,86.1888937652111
14,67.05444306135178
15,68.31362843513489
16,67.75617599487305
17,119.59109455347061
18,145.56394889950752
19,162.62376680970192
20,130.9935562312603
21,144.016295671463
22,130.31922280788422
23,119.45221573114395
24,116.09409004449844
25,141.8331079185009
26,120.71767821907997
27,117.45989322662354
28,129.00181114673615
29,147.7985642850399
30,128.02910059690475
31,131.71659782528877
32,101.01176798343658
33,88.02086114883423
34,116.19696393609047
35,152.45649963617325
36,174.2478460073471
37,161.4350825548172
38,144.96063813567162
39,121.53789401054382
40,130.63861057162285
41,131.32791966199875
42,147.26562425494194
43,184.23732370138168
44,189.19013440608978
45,190.89477136731148
46,197.9406550526619
47,239.31825533509254
48,266.6527032852173
49,215.03446623682976
50,242.17071011662483
51,243.13952773809433
52,242.73710325360298
53,249.65403601527214
54,249.5967037975788
55,161.57861799001694
56,99.63421151041985
57,54.26885560154915
58,34.429728984832764
59,32.76437520980835
60,53.1543605029583
61,45.75943574309349
62,37.496499717235565
63,19.802413880825043
